Agency,Population,VC_Total,VC_Rate,PC_Total,PC_Rate,Crime_Total,Crime_Rate
Albert Lea Police Dept,18082.0,,,494,2732.0,,
Alexandria Police Dept,11192.0,,,320,2859.2,,
Anoka County Sheriff Office,,,,1448,,,
Anoka Police Dept,17367.0,,,747,4301.3,,
Apple Valley Police Dept,49827.0,,,1116,2239.7,,
Austin Police Dept,24993.0,,,712,2848.8,,
Beltrami County Sheriff Office,,,,422,,,
Bemidji Police Dept,13745.0,,,1332,9690.8,,
Big Lake Police Dept,10222.0,,,144,1408.7,,
Blaine Police Dept,57953.0,,,1922,3316.5,,
Bloomington Police Dept,84596.0,,,3212,3796.9,,
Brainerd Police Dept,13734.0,,,695,5060.4,,
Brooklyn Center Police Dept,30725.0,,,1571,5113.1,,
City Of Brooklyn Park Police Dept,77346.0,,,2629,3399.0,,
Buffalo Police Dept,15765.0,,,423,2683.2,,
Burnsville Police Dept,61218.0,,,1810,2956.6,,
Carver County Sheriff Office,,,,749,,,
Cass County Sheriff Office,,,,1059,,,
Circle Pines-Lexington Police Dept,10903.0,,,130,1192.3,,
Champlin City Police Dept,23568.0,,,382,1620.8,,
Chaska City Police Dept,24344.0,,,339,1392.5,,
Chisago County Sheriff Office,,,,102,,,
Cloquet Police Dept,12226.0,,,539,4408.6,,
Columbia Heights Police Dept,19758.0,,,595,3011.4,,
Coon Rapids Police Dept,62301.0,,,1917,3077.0,,
Cottage Grove Police Dept,35277.0,,,651,1845.4,,
Crow Wing County Sheriff Office,,,,523,,,
Crystal Police Dept,22607.0,,,720,3184.9,,
Duluth City Police Dept,86830.0,,,3861,4446.6,,
Eagan City Police Dept,65180.0,,,1526,2341.2,,
Eden Prairie Police Dept,62052.0,,,963,1551.9,,
Edina Police Dept,48932.0,,,871,1780.0,,
Elk River Police Dept,23335.0,,,564,2417.0,,
Fairmont Police Dept,10657.0,,,284,2664.9,,
Faribault Police Dept,23600.0,,,790,3347.5,,
Farmington Police Dept,21403.0,,,203,948.5,,
Fergus Falls Police Dept,13209.0,,,464,3512.8,,
Forest Lake Police Dept,18738.0,,,428,2284.1,,
Fridley Police Dept,27574.0,,,1238,4489.7,,
Golden Valley Dept Public Safety,20787.0,,,518,2491.9,,
Grand Rapids Police Dept,10932.0,,,482,4409.1,,
Hastings Police Dept,22502.0,,,702,3119.7,,
Hibbing Police Dept,16469.0,,,90,546.5,,
Hopkins Police Dept,17951.0,,,407,2267.3,,
Hutchinson Police Dept,14183.0,,,419,2954.2,,
Inver Grove Heights Police Dept,34394.0,,,843,2451.0,,
Itasca County Sheriff Department,,,,359,,,
Lakeville Police Dept,56805.0,,,756,1330.9,,
Lino Lakes Police Dept,20478.0,,,188,918.1,,
Little Canada,9956.0,,,256,2571.3,,
Mankato Public Safety Dept,39782.0,,,1912,4806.2,,
Maple Grove Police Dept,62840.0,,,1280,2036.9,,
Maplewood Police Dept,38719.0,,,2477,6397.4,,
City Of Marshall Police Dept,13788.0,,,403,2922.8,,
Mendota Heights Police Dept,11240.0,,,329,2927.0,,
Minneapolis Police Dept,390240.0,,,19359,4960.8,,
Minnetonka Police Dept,50758.0,,,836,1647.0,,
Moorhead Police Dept,38813.0,,,865,2228.6,,
Mounds View Police Dept,12384.0,,,408,3294.6,,
New Brighton Police Dept,21854.0,,,584,2672.3,,
New Hope Police Dept,20748.0,,,589,2838.8,,
New Ulm Police Dept,13526.0,,,235,1737.4,,
North Branch Police Dept,10196.0,,,331,3246.4,,
North Mankato Police Dept,13523.0,,,219,1619.5,,
North St Paul Police Dept,11675.0,,,292,2501.1,,
Northfield Police Dept,20213.0,,,391,1934.4,,
Oakdale Police Dept,27921.0,,,1238,4433.9,,
Olmsted County Sheriff Office,,,,386,,,
Orono Police Dept,11646.0,,,133,1142.0,,
Ottertail County Sheriff Department,,,,460,,,
Owatonna Police Dept,25734.0,,,612,2378.2,,
Pine County Sheriff Department,,,,1049,,,
Plymouth Police Dept,72020.0,,,1198,1663.4,,
Prior Lake Police Dept,23410.0,,,455,1943.6,,
Ramsey Police Dept,23988.0,,,532,2217.8,,
Red Wing Police Dept,16578.0,,,655,3951.0,,
Richfield Dept Of Public Safety,35953.0,,,928,2581.1,,
Robbinsdale Police Dept,14239.0,,,443,3111.2,,
Rochester Police Dept,108582.0,,,2721,2505.9,,
Rogers Police Dept,8945.0,,,124,1386.2,,
Rosemount Police Dept,22206.0,,,262,1179.9,,
Roseville Police Dept,34276.0,,,1491,4350.0,,
Sartell Police Dept,16056.0,,,384,2391.6,,
Sauk Rapids Police Dept,12928.0,,,129,997.8,,
Savage Police Dept,27635.0,,,666,2410.0,,
Scott County Sheriff Office,,,,20,,,
Shakopee Police Dept,38057.0,,,1141,2998.1,,
Sherburne County Sheriff Department,,,,509,,,
Shoreview,25513.0,,,282,1105.3,,
South Lake Minnetonka Police Dept,11901.0,,,139,1168.0,,
South St Paul Police Dept,20465.0,,,542,2648.4,,
St. Cloud Police Dept,66593.0,,,2247,3374.2,,
St. Louis County Sheriff Office,,,,711,,,
City Of St Louis Park Police Dept,46176.0,,,1490,3226.8,,
St. Paul Police Dept,290700.0,,,11893,4091.2,,
St. Peter Police Dept,11295.0,,,255,2257.6,,
Stearns County Sheriff Office,,,,442,,,
Stillwater Police Dept,18582.0,,,478,2572.4,,
Vadnais Heights,12533.0,,,396,3159.7,,
Wash County Sheriff Office,,,,960,,,
West St Paul Police Dept,19834.0,,,931,4694.0,,
White Bear Lake Police Dept,24241.0,,,790,3258.9,,
Willmar Police Dept,19708.0,,,593,3008.9,,
Winona Police Dept,27731.0,,,498,1795.8,,
Woodbury Police Dept,63190.0,,,1448,2291.5,,
Worthington Police Dept,12858.0,,,206,1602.1,,
Wright County Sheriff Department,,,,1828,,,
