Agency,Avg_Population,Avg_VC,Avg_PC,Avg_Crime_Rate
Albert Lea,17850.0,179.255864871266,2366.8,2546.074071402386
Alexandria,11714.5,260.3561764573258,3423.15,3683.5058827143794
Anoka,17282.5,257.45464321651616,3266.35,3523.768295424623
Apple Valley,50367.0,90.35180617898874,2189.2,2279.5449609145558
Austin,24794.5,256.1171127600532,2699.8,2955.924554096252
Bemidji,14159.0,376.4093354412571,8202.55,8578.972759263928
Big Lake,10322.0,145.37040290809136,1210.5500000000002,1355.9444463967077
Blaine,60640.0,76.72548960957259,2932.2,3008.9318268621355
Bloomington,87110.0,163.5762031556477,3722.35,3885.9110000607393
Brainerd,13477.5,538.0836360970192,5211.95,5750.076223789722
Brooklyn Center,30836.0,376.22089207535976,4759.65,5135.855389582439
Brooklyn Park,78669.5,351.33032945419717,3069.4,3420.761360717659
Buffalo,15855.5,101.01891127735587,2028.0,2129.059411429591
Burnsville,61532.0,134.94111478647244,2902.15,3037.07099016172
Circle Pines-Lexington,10839.5,92.25577162218423,1166.5,1258.788065474388
Champlin,23923.0,83.60181267027704,1469.5,1553.1054846998381
Chaska,24380.5,59.5723017186403,1012.35,1071.9270782338294
Cloquet,12017.5,241.323665707313,4052.4,4293.716977859391
Columbia Heights,19713.5,220.66270655542786,2518.6,2739.245798900567
Coon Rapids,62149.0,142.4132784294972,2660.8,2803.23171214626
Cottage Grove,35458.0,63.47973300700416,1913.6,1977.0753807489696
Crystal,22667.0,143.36825437293857,2441.7,2585.0840759252847
Duluth,86158.5,377.78056339112356,4603.5,4981.282964096542
Eagan,65403.0,46.688627745490436,1884.2,1930.89984623306
Eden Prairie,62875.0,48.54388156777452,1386.15,1434.7281026903295
Edina,49566.0,43.340922379415986,1842.1999999999998,1885.5060969702593
Elk River,23449.5,63.89672406325876,2017.1,2080.9970662339956
Fairmont,10390.0,144.4530902623388,2979.0,3123.406699273751
Faribault,23414.5,352.3588228135364,2983.3,3335.699911892396
Farmington,22309.0,71.72197439095677,871.8499999999999,943.5324478921402
Fergus Falls,13326.0,300.0379241394671,3598.6,3898.610997982425
Forest Lake,19228.0,135.0556860728882,2284.0,2419.08322086627
Fridley,27776.5,261.01288219397213,4565.0,4826.018803190708
Golden Valley,20931.5,59.74067752821296,2250.1,2309.8160985929426
Grand Rapids,10977.0,259.79835455564603,4202.4,4462.19388596884
Hastings,22424.5,160.49249697715837,2476.65,2637.13733904743
Hibbing,16278.0,159.63352484870327,917.85,1077.455719543945
Hopkins,18119.5,195.91634585089005,2527.6499999999996,2723.5529091307444
Hutchinson,13830.0,177.00357473486793,2555.6499999999996,2732.6203689164777
Inver Grove Heights,34374.0,221.14593334648174,2094.85,2316.0412652408945
Lakeville,58476.0,34.102219271334135,1200.3,1234.3930817509586
Lino Lakes,20963.0,71.5551012851314,689.6500000000001,761.2009123517196
Little Canada,10145.0,226.72113415154658,2738.45,2965.161861555458
Mankato Public,40659.5,263.1754104173065,3916.1499999999996,4179.307422678063
Maple Grove,65836.0,38.76488548432908,1722.0,1760.7716677330768
Maplewood,40030.0,169.99580938560013,5261.95,5431.924655627029
Marshall,13401.5,208.82775597955023,2675.6,2884.433623065491
Mendota Heights,11177.0,71.59097291103569,2255.1499999999996,2326.7294333027166
Minneapolis,400333.5,1015.5654338858562,4806.9,5822.49691488349
Minnetonka,51671.0,35.783389380497326,1599.7,1635.4663832363804
Moorhead,39514.5,136.4646741824124,2118.4,2254.848007522556
Mounds View,12565.5,183.04819309845294,3058.25,3241.2985818137668
New Brighton,22135.5,61.09082807512163,2475.75,2536.851839235569
New Hope,20873.5,93.44219108752498,1866.3,1959.764797331684
New Ulm,13160.5,91.13982504202123,1702.6,1793.760395606974
North Branch,10021.0,104.92004693687795,3050.55,3155.4446690801124
North Mankato,13402.5,179.02247157933573,1958.8000000000002,2137.8248396425315
North St Paul,11857.5,63.09386509269125,2393.1499999999996,2456.2177441016674
Northfield,20694.5,79.73823030507381,1311.9499999999998,1391.670798678239
Oakdale,27845.0,192.14002466519997,4266.4,4458.547657721727
Orono,21239.0,21.182119720309384,1012.6,1033.812959783523
Owatonna,25460.5,141.39701580775744,2551.45,2692.8277201474175
Plymouth,74258.5,69.3304338881952,1481.85,1551.158180894989
Prior Lake,24417.5,87.97993752634949,1667.3000000000002,1755.287442689417
Ramsey,24718.0,95.85694367005543,1472.6,1568.476976697918
Red Wing,16508.5,215.0374590423361,3174.2,3389.271637103606
Richfield,36387.5,228.1081229715981,2544.9,2773.0147517660926
Robbinsdale,14375.0,212.18857886804858,2378.9,2591.1174200180067
Rochester,110693.5,189.3147710838323,2161.1000000000004,2350.456760838072
Rogers,11981.0,88.4256382854478,2120.55,2208.978991358893
Rosemount,22714.5,57.129148199615784,973.55,1030.6883596548873
Roseville,35161.5,137.98646960383658,4739.95,4877.928848667117
Sartell,16308.0,27.584678054270714,2020.25,2047.7930069161846
Sauk Rapids,13195.0,87.22544630916343,1760.5,1847.730529875916
Savage,28675.0,108.31786665797352,2087.65,2195.9591403041363
Shakopee,39423.0,139.4894924466411,2274.55,2414.059644542511
Shoreview,26009.5,53.770669412119474,1122.8,1176.5624252305356
South Lake Minnetonka,12044.0,108.04711959648584,1000.5,1108.5460192156324
South St Paul,20494.0,407.4471340192393,2451.95,2859.4312982819283
St. Cloud,66171.5,386.09679543337995,4044.8500000000004,4430.906197170985
St Louis Park,47340.0,140.53834301764073,2737.8999999999996,2878.425759052389
St. Paul,296337.0,704.4994471846703,3604.0,4308.494045064786
St. Peter,11504.0,139.07299520276297,1808.0500000000002,1947.095983397925
Stillwater,18700.5,64.2497894003861,1575.35,1639.6025299920186
Vadnais Heights,13046.5,122.73110116607634,2325.8,2448.5201201399814
West St Paul,19784.5,389.236135551668,5066.85,5456.098115820076
White Bear Lake,24637.0,152.39361977657424,2654.6000000000004,2807.0022983467443
Willmar,19693.5,243.73137888583324,2871.5,3115.2459541343487
Winona,27811.5,98.80315053260006,835.9000000000001,934.6971792967478
Woodbury,65899.0,43.141538954282666,1946.3500000000001,1989.5077421075455
Worthington,12943.5,170.04367008030772,1390.1999999999998,1560.209027317867
