,Agency,Population,Real Violent Crime Total,Real Violent Crime Rate,Property crime total,Property crime rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Violent crime total,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
0,Albert Lea Police Dept,17867.0,35,195.89186768903565,447,2501.8,,0.0,,16.8,0.0,179.1,,291.0,2132.4,78.4
1,Alexandria Police Dept,11716.0,35,298.736770228747,363,3098.3,,8.5,,68.3,8.5,213.4,,384.1,2569.1,145.1
2,Anoka County Sheriff Office,,62,,1297,,,,,,,,,,,
3,Anoka Police Dept,17270.0,37,214.24435437174293,565,3271.6,,0.0,,86.9,52.1,75.3,,318.5,2819.9,133.2
4,Apple Valley Police Dept,50262.0,49,97.48915681827226,1163,2313.9,,4.0,,21.9,35.8,35.8,,210.9,2051.3,51.7
5,Austin Police Dept,24823.0,61,245.7398380534182,754,3037.5,,0.0,,48.3,28.2,169.2,,555.9,2296.3,185.3
6,Beltrami County Sheriff Office,,36,,369,,,,,,,,,,,
7,Bemidji Police Dept,13805.0,44,318.7250996015936,1148,8315.8,,0.0,,94.2,21.7,202.8,,485.3,7605.9,224.6
8,Big Lake Police Dept,10296.0,17,165.11266511266513,107,1039.2,,0.0,,0.0,19.4,145.7,,204.0,806.1,29.1
9,Blaine Police Dept,60093.0,49,81.54027923385419,1717,2857.2,,0.0,,16.6,20.0,44.9,,246.3,2509.4,101.5
10,Bloomington Police Dept,87057.0,128,147.03010671169466,3283,3771.1,,1.1,,19.5,56.3,70.1,,221.7,3434.5,114.9
11,Brainerd Police Dept,13493.0,55,407.6187652857037,750,5558.4,,0.0,,118.6,37.1,252.0,,778.2,4609.8,170.5
12,Brooklyn Center Police Dept,30814.0,132,428.3767118842084,1720,5581.9,,6.5,,45.4,217.4,159.0,,671.8,4673.2,236.9
13,City Of Brooklyn Park Police Dept,78353.0,248,316.51627889168253,2456,3134.5,,3.8,,42.1,109.8,160.8,,537.3,2393.0,204.2
14,Buffalo Police Dept,15802.0,21,132.89457030755602,337,2132.6,,0.0,,57.0,12.7,63.3,,196.2,1879.5,57.0
15,Burnsville Police Dept,61371.0,95,154.7962392661029,1872,3050.3,,4.9,,6.5,44.0,99.4,,352.0,2568.0,130.4
16,Carver County Sheriff Office,,42,,721,,,,,,,,,,,
17,Cass County Sheriff Office,,76,,1198,,,,,,,,,,,
18,Circle Pines-Lexington Police Dept,10812.0,10,92.4898261191269,105,971.1,,0.0,,0.0,27.7,64.7,,64.7,804.7,101.7
19,Champlin City Police Dept,23881.0,20,83.74858674259872,379,1587.0,,0.0,,25.1,12.6,46.1,,167.5,1394.4,25.1
20,Chaska City Police Dept,24158.0,17,70.37006374699892,279,1154.9,,0.0,,49.7,0.0,20.7,,115.9,1010.0,29.0
21,Chisago County Sheriff Office,,20,,215,,,,,,,,,,,
22,Cloquet Police Dept,12005.0,30,249.89587671803415,483,4023.3,,0.0,,58.3,41.6,149.9,,408.2,3465.2,149.9
23,Columbia Heights Police Dept,19715.0,39,197.81891960436218,485,2460.1,,0.0,,10.1,65.9,121.7,,507.2,1815.9,137.0
24,Coon Rapids Police Dept,62056.0,94,151.4760861157664,1766,2845.8,,0.0,,50.0,24.2,77.3,,294.9,2465.5,85.4
25,Cottage Grove Police Dept,35339.0,25,70.74337134610488,683,1932.7,,0.0,,14.1,31.1,25.5,,232.0,1635.6,65.1
26,Crow Wing County Sheriff Office,,26,,523,,,,,,,,,,,
27,Crystal Police Dept,22642.0,30,132.4971292288667,520,2296.6,,0.0,,22.1,75.1,35.3,,269.4,1872.6,154.6
28,Duluth City Police Dept,86211.0,342,396.7011170268295,4283,4968.0,,2.3,,60.3,83.5,250.5,,745.8,4041.2,181.0
29,Eagan City Police Dept,65052.0,37,56.877574863186375,1287,1978.4,,0.0,,3.1,21.5,32.3,,250.6,1671.0,56.9
30,Eden Prairie Police Dept,62714.0,39,62.18707146729597,894,1425.5,,1.6,,15.9,11.2,33.5,,132.3,1256.5,36.7
31,Edina Police Dept,49405.0,16,32.38538609452485,937,1896.6,,0.0,,14.2,10.1,8.1,,161.9,1690.1,44.5
32,Elk River Police Dept,23351.0,11,47.107190270223974,471,2017.0,,0.0,,25.7,8.6,12.8,,239.8,1721.6,55.7
33,Fairmont Police Dept,10400.0,6,57.69230769230769,296,2846.2,,0.0,,9.6,9.6,38.5,,509.6,2278.8,57.7
34,Faribault Police Dept,23405.0,90,384.5332193975646,783,3345.4,,4.3,,72.6,42.7,264.9,,504.2,2696.0,145.3
35,Farmington Police Dept,22190.0,16,72.10455159981974,192,865.3,,0.0,,0.0,9.0,63.1,,148.7,694.0,22.5
36,Fergus Falls Police Dept,13244.0,37,279.37179099969796,484,3654.5,,0.0,,0.0,22.7,256.7,,770.2,2793.7,90.6
37,Forest Lake Police Dept,19140.0,19,99.26854754440961,366,1912.2,,0.0,,47.0,26.1,26.1,,350.1,1405.4,156.7
38,Fridley Police Dept,27775.0,77,277.2277227722772,1247,4489.6,,0.0,,50.4,64.8,162.0,,565.3,3665.2,259.2
39,Golden Valley Dept Public Safety,20904.0,16,76.54037504783773,451,2157.5,,0.0,,19.1,23.9,33.5,,282.2,1808.3,67.0
40,Grand Rapids Police Dept,10934.0,33,301.8108651911469,535,4893.0,,0.0,,137.2,18.3,146.3,,347.5,4380.8,164.6
41,Hastings Police Dept,22365.0,32,143.08070646098815,507,2266.9,,0.0,,44.7,22.4,76.0,,254.9,1913.7,98.4
42,Hibbing Police Dept,16267.0,4,24.589660047949835,6,36.9,,0.0,,0.0,0.0,24.6,,6.1,30.7,0.0
43,Hopkins Police Dept,18108.0,34,187.76231499889553,450,2485.1,,0.0,,27.6,60.7,99.4,,392.1,1888.7,204.3
44,Hutchinson Police Dept,13857.0,35,252.57992350436604,384,2771.2,,0.0,,64.9,0.0,187.6,,194.8,2511.4,64.9
45,Inver Grove Heights Police Dept,34294.0,83,242.02484399603426,761,2219.0,,0.0,,23.3,26.2,192.5,,279.9,1790.4,148.7
46,Itasca County Sheriff Department,,42,,386,,,,,,,,,,,
47,Lakeville Police Dept,57758.0,15,25.970428338931406,724,1253.5,,0.0,,1.7,8.7,15.6,,190.4,1028.4,34.6
48,Lino Lakes Police Dept,20910.0,15,71.73601147776183,172,822.6,,0.0,,9.6,0.0,62.2,,129.1,669.5,23.9
49,Little Canada,10083.0,23,228.10671427154617,246,2439.8,,0.0,,39.7,49.6,138.8,,654.6,1418.2,367.0
50,Mankato Public Safety Dept,40360.0,107,265.1139742319128,1753,4343.4,,2.5,,44.6,76.8,141.2,,773.0,3456.4,114.0
51,Maple Grove Police Dept,65318.0,28,42.86720352735846,1087,1664.2,,0.0,,9.2,15.3,18.4,,173.0,1445.2,45.9
52,Maplewood Police Dept,39765.0,75,188.6080724254998,2295,5771.4,,2.5,,42.8,57.8,85.5,,711.7,4662.4,397.3
