,Agency,Population,Real Violent Crime Total,Real Violent Crime Rate,Property crime total,Property crime rate,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Violent crime total,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
0,Albert Lea Police Dept,17833,29,162.6198621,398,2231.8,,0,,0,28,134.6,,201.9,1917.8,112.2
1,Alexandria Police Dept,11713,26,221.9755827,439,3748,,0,,76.8,51.2,93.9,,392.7,3065,290.3
2,Anoka County Sheriff Office,,65,,1190,,,,,,,,,,,
3,Anoka Police Dept,17295,52,300.6649321,564,3261.1,,0,,92.5,52,156.1,,300.7,2810.1,150.3
4,Apple Valley Police Dept,50472,42,83.21445554,1042,2064.5,,0,,17.8,15.9,49.5,,196.1,1816.8,51.5
5,Austin Police Dept,24766,66,266.4943875,585,2362.1,,0,,72.7,24.2,169.6,,407.8,1825.1,129.2
6,Beltrami County Sheriff Office,,49,,340,,,,,,,,,,,
7,Bemidji Police Dept,14513,63,434.0935713,1174,8089.3,,0,,124,27.6,282.5,,627,7241.8,220.5
8,Big Lake Police Dept,10348,13,125.6281407,143,1381.9,,0,,0,0,125.6,,193.3,1140.3,48.3
9,Blaine Police Dept,61187,44,71.91069999,1840,3007.2,,0,,18,27.8,26.1,,297.4,2631.3,78.4
10,Bloomington Police Dept,87163,157,180.1222996,3202,3673.6,,0,,26.4,86,67.7,,232.9,3317.9,122.8
11,Brainerd Police Dept,13462,90,668.5485069,655,4865.5,,0,,230.3,44.6,393.7,,846.8,3795.9,222.8
12,Brooklyn Center Police Dept,30858,100,324.0650723,1215,3937.4,,0,,32.4,145.8,145.8,,505.5,3192,239.8
13,City Of Brooklyn Park Police Dept,78986,305,386.14438,2373,3004.3,,1.3,,63.3,135.5,186.1,,562.1,2282.7,159.5
14,Buffalo Police Dept,15909,11,69.14325225,306,1923.4,,0,,18.9,0,50.3,,132,1728.6,62.9
15,Burnsville Police Dept,61693,71,115.0859903,1699,2754,,0,,11.3,43.8,60,,225.3,2433,95.6
16,Carver County Sheriff Office,,46,,755,,,,,,,,,,,
17,Cass County Sheriff Office,,80,,1127,,,,,,,,,,,
