City,Violent_Crime_Rate,Property_Crime_Rate,Overall_Crime_Rate,Latitude,Longitude
Albert Lea,179.25586487126597,2366.8,2546.074071402386,43.6478006,-93.3686555
Alexandria,260.35617645732583,3423.15,3683.5058827143794,45.8848164,-95.3776663
Anoka,257.45464321651616,3266.35,3523.768295424623,45.1977428,-93.3871758
Apple Valley,90.35180617898874,2189.2,2279.5449609145558,44.7319094,-93.21772000000001
Austin,256.1171127600532,2699.8,2955.924554096252,43.6666296,-92.97463669999999
Bemidji,376.4093354412571,8202.55,8578.972759263928,47.471573,-94.8826861
Big Lake,145.37040290809136,1210.5500000000004,1355.9444463967075,45.3331421,-93.7335062
Blaine,76.72548960957259,2932.2,3008.9318268621355,45.1607987,-93.23494889999999
Bloomington,163.57620315564768,3722.35,3885.9110000607393,44.840798,-93.2982799
Brainerd,538.0836360970192,5211.95,5750.076223789722,46.3526733,-94.2020084
Brooklyn Center,376.2208920753597,4759.65,5135.855389582439,45.076076,-93.3327283
Brooklyn Park,351.33032945419717,3069.4,3420.7613607176595,45.0941315,-93.3563405
Buffalo,101.01891127735588,2028.0,2129.059411429591,45.1717846,-93.8747929
Burnsville,134.94111478647244,2902.15,3037.07099016172,44.7677424,-93.27772259999999
Circle Pines-Lexington,92.25577162218424,1166.5,1258.788065474388,45.1359942,-93.1701619
Champlin,83.60181267027704,1469.5,1553.105484699838,45.1888539,-93.39745370000001
Chaska,59.5723017186403,1012.35,1071.9270782338294,44.7893446,-93.60183889999999
Cloquet,241.323665707313,4052.4,4293.716977859391,46.7217735,-92.46118249999999
Columbia Heights,220.66270655542786,2518.6,2739.245798900567,45.0481968,-93.2474098
Coon Rapids,142.41327842949718,2660.8,2803.23171214626,45.1732394,-93.30300629999999
Cottage Grove,63.47973300700416,1913.6,1977.0753807489693,44.8277446,-92.9438218
Crystal,143.36825437293857,2441.7,2585.084075925285,45.0327425,-93.3602286
Duluth,377.7805633911237,4603.5,4981.282964096542,46.78667189999999,-92.1004852
Eagan,46.688627745490436,1884.2,1930.8998462330603,44.8041322,-93.1668858
Eden Prairie,48.54388156777453,1386.15,1434.7281026903295,44.8546856,-93.47078599999999
Edina,43.340922379415986,1842.2,1885.5060969702595,44.8896866,-93.3499489
Elk River,63.89672406325876,2017.1,2080.997066233996,45.33772829999999,-93.56911219999999
Fairmont,144.4530902623388,2979.0,3123.406699273751,43.65217750000001,-94.46108319999999
Faribault,352.3588228135364,2983.3,3335.6999118923964,44.2949636,-93.268827
Farmington,71.72197439095676,871.8499999999998,943.5324478921402,44.6402434,-93.1435497
Fergus Falls,300.0379241394671,3598.6,3898.610997982425,46.2835212,-96.0777887
Forest Lake,135.0556860728882,2284.0,2419.08322086627,45.2788561,-92.9852183
Fridley,261.01288219397213,4565.0,4826.018803190708,45.0860765,-93.2632821
Golden Valley,59.740677528212956,2250.1,2309.8160985929426,44.9917149,-93.3600034
Grand Rapids,259.79835455564603,4202.4,4462.19388596884,47.2371658,-93.53021419999999
Hastings,160.49249697715837,2476.65,2637.13733904743,44.7443293,-92.8513706
Hibbing,159.6335248487033,917.85,1077.455719543945,47.42715459999999,-92.9376887
Hopkins,195.91634585089005,2527.65,2723.5529091307444,44.9260794,-93.4044187
Hutchinson,177.0035747348679,2555.65,2732.620368916477,44.89254830000001,-94.3692926
Inver Grove Heights,221.1459333464817,2094.85,2316.0412652408945,44.8480218,-93.04271530000001
