Uniform Crime Reporting Statistics - UCR Data Online,,,,,,,,,,,,,,,,,,,,,,,
http://www.ucrdatatool.gov/,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Crime in 2013,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,Number of offenses reported,,,,,,,,,,"Crime rate per 100,000 population",,,,,,,,,
,,,,Violent crime,,,,,,Property crime,,,,Violent crime,,,,,,Property crime,,,
,,,,,,,,,,,,,,,,,,,,,,,
Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Legacy rape rate /1,Revised rape rate /2,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate
Albert Lea Police Dept,MN,12,17867,,0,,3,0,32,447,52,381,14,,0,,16.8,0,179.1,2501.8,291,2132.4,78.4
Alexandria Police Dept,MN,12,11716,,1,,8,1,25,363,45,301,17,,8.5,,68.3,8.5,213.4,3098.3,384.1,2569.1,145.1
Anoka County Sheriff Office,MN,12,,,1,,30,4,27,1297,249,978,70,,,,,,,,,,
Anoka Police Dept,MN,12,17270,,0,,15,9,13,565,55,487,23,,0,,86.9,52.1,75.3,3271.6,318.5,2819.9,133.2
Apple Valley Police Dept,MN,12,50262,,2,,11,18,18,1163,106,1031,26,,4,,21.9,35.8,35.8,2313.9,210.9,2051.3,51.7
Austin Police Dept,MN,12,24823,,0,,12,7,42,754,138,570,46,,0,,48.3,28.2,169.2,3037.5,555.9,2296.3,185.3
Beltrami County Sheriff Office,MN,12,,,1,,17,0,18,369,99,253,17,,,,,,,,,,
Bemidji Police Dept,MN,12,13805,,0,,13,3,28,1148,67,1050,31,,0,,94.2,21.7,202.8,8315.8,485.3,7605.9,224.6
Big Lake Police Dept,MN,12,10296,,0,,0,2,15,107,21,83,3,,0,,0,19.4,145.7,1039.2,204,806.1,29.1
Blaine Police Dept,MN,12,60093,,0,,10,12,27,1717,148,1508,61,,0,,16.6,20,44.9,2857.2,246.3,2509.4,101.5
Bloomington Police Dept,MN,12,87057,,1,,17,49,61,3283,193,2990,100,,1.1,,19.5,56.3,70.1,3771.1,221.7,3434.5,114.9
Brainerd Police Dept,MN,12,13493,,0,,16,5,34,750,105,622,23,,0,,118.6,37.1,252,5558.4,778.2,4609.8,170.5
Brooklyn Center Police Dept,MN,12,30814,,2,,14,67,49,1720,207,1440,73,,6.5,,45.4,217.4,159,5581.9,671.8,4673.2,236.9
City Of Brooklyn Park Police Dept,MN,12,78353,,3,,33,86,126,2456,421,1875,160,,3.8,,42.1,109.8,160.8,3134.5,537.3,2393,204.2
Buffalo Police Dept,MN,12,15802,,0,,9,2,10,337,31,297,9,,0,,57,12.7,63.3,2132.6,196.2,1879.5,57
Burnsville Police Dept,MN,12,61371,,3,,4,27,61,1872,216,1576,80,,4.9,,6.5,44,99.4,3050.3,352,2568,130.4
Carver County Sheriff Office,MN,12,,,0,,17,4,21,721,142,563,16,,,,,,,,,,
Cass County Sheriff Office,MN,12,,,0,,50,3,23,1198,237,883,78,,,,,,,,,,
Circle Pines-Lexington Police Dept,MN,12,10812,,0,,0,3,7,105,7,87,11,,0,,0,27.7,64.7,971.1,64.7,804.7,101.7
Champlin City Police Dept,MN,12,23881,,0,,6,3,11,379,40,333,6,,0,,25.1,12.6,46.1,1587,167.5,1394.4,25.1
Chaska City Police Dept,MN,12,24158,,0,,12,0,5,279,28,244,7,,0,,49.7,0,20.7,1154.9,115.9,1010,29
Chisago County Sheriff Office,MN,12,,,0,,0,3,17,215,39,150,26,,,,,,,,,,
Cloquet Police Dept,MN,12,12005,,0,,7,5,18,483,49,416,18,,0,,58.3,41.6,149.9,4023.3,408.2,3465.2,149.9
Columbia Heights Police Dept,MN,12,19715,,0,,2,13,24,485,100,358,27,,0,,10.1,65.9,121.7,2460.1,507.2,1815.9,137
Coon Rapids Police Dept,MN,12,62056,,0,,31,15,48,1766,183,1530,53,,0,,50,24.2,77.3,2845.8,294.9,2465.5,85.4
Cottage Grove Police Dept,MN,12,35339,,0,,5,11,9,683,82,578,23,,0,,14.1,31.1,25.5,1932.7,232,1635.6,65.1
Crow Wing County Sheriff Office,MN,12,,,0,,6,1,19,523,233,261,29,,,,,,,,,,
Crystal Police Dept,MN,12,22642,,0,,5,17,8,520,61,424,35,,0,,22.1,75.1,35.3,2296.6,269.4,1872.6,154.6
Duluth City Police Dept,MN,12,86211,,2,,52,72,216,4283,643,3484,156,,2.3,,60.3,83.5,250.5,4968,745.8,4041.2,181
Eagan City Police Dept,MN,12,65052,,0,,2,14,21,1287,163,1087,37,,0,,3.1,21.5,32.3,1978.4,250.6,1671,56.9
Eden Prairie Police Dept,MN,12,62714,,1,,10,7,21,894,83,788,23,,1.6,,15.9,11.2,33.5,1425.5,132.3,1256.5,36.7
Edina Police Dept,MN,12,49405,,0,,7,5,4,937,80,835,22,,0,,14.2,10.1,8.1,1896.6,161.9,1690.1,44.5
Elk River Police Dept,MN,12,23351,,0,,6,2,3,471,56,402,13,,0,,25.7,8.6,12.8,2017,239.8,1721.6,55.7
Fairmont Police Dept,MN,12,10400,,0,,1,1,4,296,53,237,6,,0,,9.6,9.6,38.5,2846.2,509.6,2278.8,57.7
Faribault Police Dept,MN,12,23405,,1,,17,10,62,783,118,631,34,,4.3,,72.6,42.7,264.9,3345.4,504.2,2696,145.3
Farmington Police Dept,MN,12,22190,,0,,0,2,14,192,33,154,5,,0,,0,9,63.1,865.3,148.7,694,22.5
Fergus Falls Police Dept,MN,12,13244,,0,,0,3,34,484,102,370,12,,0,,0,22.7,256.7,3654.5,770.2,2793.7,90.6
Forest Lake Police Dept,MN,12,19140,,0,,9,5,5,366,67,269,30,,0,,47,26.1,26.1,1912.2,350.1,1405.4,156.7
Fridley Police Dept,MN,12,27775,,0,,14,18,45,1247,157,1018,72,,0,,50.4,64.8,162,4489.6,565.3,3665.2,259.2
Golden Valley Dept Public Safety,MN,12,20904,,0,,4,5,7,451,59,378,14,,0,,19.1,23.9,33.5,2157.5,282.2,1808.3,67
Grand Rapids Police Dept,MN,12,10934,,0,,15,2,16,535,38,479,18,,0,,137.2,18.3,146.3,4893,347.5,4380.8,164.6
Hastings Police Dept,MN,12,22365,,0,,10,5,17,507,57,428,22,,0,,44.7,22.4,76,2266.9,254.9,1913.7,98.4
Hibbing Police Dept,MN,12,16267,,0,,0,0,4,6,1,5,0,,0,,0,0,24.6,36.9,6.1,30.7,0
Hopkins Police Dept,MN,12,18108,,0,,5,11,18,450,71,342,37,,0,,27.6,60.7,99.4,2485.1,392.1,1888.7,204.3
Hutchinson Police Dept,MN,12,13857,,0,,9,0,26,384,27,348,9,,0,,64.9,0,187.6,2771.2,194.8,2511.4,64.9
Inver Grove Heights Police Dept,MN,12,34294,,0,,8,9,66,761,96,614,51,,0,,23.3,26.2,192.5,2219,279.9,1790.4,148.7
Itasca County Sheriff Department,MN,12,,,1,,26,1,14,386,85,295,6,,,,,,,,,,
Lakeville Police Dept,MN,12,57758,,0,,1,5,9,724,110,594,20,,0,,1.7,8.7,15.6,1253.5,190.4,1028.4,34.6
Lino Lakes Police Dept,MN,12,20910,,0,,2,0,13,172,27,140,5,,0,,9.6,0,62.2,822.6,129.1,669.5,23.9
Little Canada,MN,12,10083,,0,,4,5,14,246,66,143,37,,0,,39.7,49.6,138.8,2439.8,654.6,1418.2,367
Mankato Public Safety Dept,MN,12,40360,,1,,18,31,57,1753,312,1395,46,,2.5,,44.6,76.8,141.2,4343.4,773,3456.4,114
Maple Grove Police Dept,MN,12,65318,,0,,6,10,12,1087,113,944,30,,0,,9.2,15.3,18.4,1664.2,173,1445.2,45.9
Maplewood Police Dept,MN,12,39765,,1,,17,23,34,2295,283,1854,158,,2.5,,42.8,57.8,85.5,5771.4,711.7,4662.4,397.3
City Of Marshall Police Dept,MN,12,13370,,0,,5,0,17,388,67,306,15,,0,,37.4,0,127.2,2902,501.1,2288.7,112.2
Mendota Heights Police Dept,MN,12,11158,,0,,1,2,6,285,33,249,3,,0,,9,17.9,53.8,2554.2,295.8,2231.6,26.9
Minneapolis Police Dept,MN,12,396206,4038,36,,385,1856,1761,19358,4601,13182,1575,1019.2,9.1,,97.2,468.4,444.5,4885.8,1161.3,3327.1,397.5
Minnetonka Police Dept,MN,12,51573,,0,,2,4,7,863,118,718,27,,0,,3.9,7.8,13.6,1673.4,228.8,1392.2,52.4
Moorhead Police Dept,MN,12,39322,,1,,3,6,28,847,158,645,44,,2.5,,7.6,15.3,71.2,2154,401.8,1640.3,111.9
Mounds View Police Dept,MN,12,12486,,1,,5,2,15,348,46,283,19,,8,,40,16,120.1,2787.1,368.4,2266.5,152.2
New Brighton Police Dept,MN,12,21995,,0,,2,6,9,548,76,436,36,,0,,9.1,27.3,40.9,2491.5,345.5,1982.3,163.7
New Hope Police Dept,MN,12,20852,,1,,4,9,10,454,55,374,25,,4.8,,19.2,43.2,48,2177.2,263.8,1793.6,119.9
New Ulm Police Dept,MN,12,13185,,0,,4,0,11,185,41,131,13,,0,,30.3,0,83.4,1403.1,311,993.6,98.6
North Branch Police Dept,MN,12,9966,,0,,1,1,11,339,47,282,10,,0,,10,10,110.4,3401.6,471.6,2829.6,100.3
North Mankato Police Dept,MN,12,13357,,0,,4,2,16,270,65,188,17,,0,,29.9,15,119.8,2021.4,486.6,1407.5,127.3
North St Paul Police Dept,MN,12,11767,,0,,1,2,2,251,39,191,21,,0,,8.5,17,17,2133.1,331.4,1623.2,178.5
Northfield Police Dept,MN,12,20675,,0,,6,2,10,269,41,225,3,,0,,29,9.7,48.4,1301.1,198.3,1088.3,14.5
Oakdale Police Dept,MN,12,27820,,1,,18,8,28,1166,136,980,50,,3.6,,64.7,28.8,100.6,4191.2,488.9,3522.6,179.7
Olmsted County Sheriff Office,MN,12,,,0,,8,2,14,332,135,183,14,,,,,,,,,,
Orono Police Dept,MN,12,21190,,1,,0,0,3,246,44,197,5,,4.7,,0,0,14.2,1160.9,207.6,929.7,23.6
Ottertail County Sheriff Department,MN,12,,,1,,11,0,21,441,173,244,24,,,,,,,,,,
Owatonna Police Dept,MN,12,25377,,0,,5,6,25,680,114,538,28,,0,,19.7,23.6,98.5,2679.6,449.2,2120,110.3
Pine County Sheriff Department,MN,12,,,0,,23,1,58,1307,242,978,87,,,,,,,,,,
Plymouth Police Dept,MN,12,73684,,0,,21,5,23,1141,186,903,52,,0,,28.5,6.8,31.2,1548.5,252.4,1225.5,70.6
Prior Lake Police Dept,MN,12,24056,,0,,5,3,12,442,62,365,15,,0,,20.8,12.5,49.9,1837.4,257.7,1517.3,62.4
Ramsey Police Dept,MN,12,24186,,1,,20,2,9,379,49,312,18,,4.1,,82.7,8.3,37.2,1567,202.6,1290,74.4
