GNIS_FEATURE_ID_INTEGER,GNIS_FEATURE_ID_TEXT,FEATURE_NAME,CTU_TYPE,LATITUDE,LONGITUDE,CENSUS_CODE,ANSI_COUNTY_CODE,COUNTY_NAME,COUNTY_CODE_AND_FEATURE_ID,STATE_COUNTY_CODES_FEATURE_ID,COUNTY_CODE_AND_CENSUS_CODE,FIPS,ACTIVE_OR_HISTORICAL,DATE_CREATED,DATE_EDITED
654546,654546,Township of Synnes,Township,45.4666291,-96.0781094,63976,149,Stevens County,14900654546,2.7149E+12,14963976,2714963976,Active,6/8/2009,6/15/2009
663375,663375,Township of Aastad,Township,46.1507931,-96.0825578,100,111,Otter Tail County,11100663375,2.7111E+12,11100100,2711100100,Active,6/8/2009,0000-00-00
663376,663376,Township of Acoma,Township,44.9369065,-94.4469311,136,85,McLeod County,8500663376,2.7085E+12,8500136,2708500136,Active,6/8/2009,0000-00-00
663377,663377,Township of Acton,Township,45.1177406,-94.7011088,154,93,Meeker County,9300663377,2.7093E+12,9300154,2709300154,Active,6/8/2009,0000-00-00
663380,663380,Township of Adams,Township,43.5335775,-92.751852,208,99,Mower County,9900663380,2.7099E+12,9900208,2709900208,Active,6/8/2009,0000-00-00
663382,663382,Township of Adrian,Township,44.0721803,-94.7894274,280,165,Watonwan County,16500663382,2.7165E+12,16500280,2716500280,Active,6/8/2009,0000-00-00
663383,663383,Township of Aetna,Township,44.1546892,-96.1183627,298,117,Pipestone County,11700663383,2.7117E+12,11700298,2711700298,Active,6/8/2009,0000-00-00
663385,663385,Township of Agassiz,Township,45.1894091,-96.2986632,352,73,Lac qui Parle County,7300663385,2.7073E+12,7300352,2707300352,Active,6/8/2009,0000-00-00
663386,663386,Township of Agder,Township,48.2194126,-96.0519693,388,89,Marshall County,8900663386,2.7089E+12,8900388,2708900388,Active,6/8/2009,0000-00-00
663387,663387,Township of Agram,Township,45.9405211,-94.1730492,406,97,Morrison County,9700663387,2.7097E+12,9700406,2709700406,Active,6/8/2009,0000-00-00
663389,663389,Township of Aitkin,Township,46.5574582,-93.7516389,478,1,Aitkin County,100663389,2.7001E+12,100478,2700100478,Active,6/8/2009,0000-00-00
663391,663391,Township of Akeley,Township,47.0246802,-94.733895,514,57,Hubbard County,5700663391,2.7057E+12,5700514,2705700514,Active,6/8/2009,0000-00-00
663392,663392,Township of Akron,Township,45.263575,-96.1697737,532,11,Big Stone County,1100663392,2.7011E+12,1100532,2701100532,Active,6/8/2009,0000-00-00
663393,663393,Township of Akron,Township,46.4091264,-96.3433991,550,167,Wilkin County,16700663393,2.7167E+12,16700550,2716700550,Active,6/8/2009,0000-00-00
663394,663394,Township of Alango,Township,47.7646435,-92.7668463,568,137,Saint Louis County,13700663394,2.7137E+12,13700568,2713700568,Active,6/8/2009,0000-00-00
663395,663395,Township of Alaska,Township,47.7863452,-95.0672203,586,7,Beltrami County,700663395,2.7007E+12,700586,2700700586,Active,6/8/2009,0000-00-00
663396,663396,Township of Alba,Township,43.7199607,-95.3875013,604,63,Jackson County,6300663396,2.7063E+12,6300604,2706300604,Active,6/8/2009,0000-00-00
663398,663398,Township of Albany,Township,45.6274647,-94.5786162,640,145,Stearns County,14500663398,2.7145E+12,14500640,2714500640,Active,6/8/2009,0000-00-00
663399,663399,Township of Alberta,Township,45.7744113,-93.9397029,668,9,Benton County,900663399,2.7009E+12,900668,2700900668,Active,6/8/2009,0000-00-00
663402,663402,Township of Albert Lea,Township,43.6244016,-93.3404865,712,47,Freeborn County,4700663402,2.7047E+12,4700712,2704700712,Active,6/8/2009,0000-00-00
663404,663404,Township of Albin,Township,44.1469039,-94.6855346,748,15,Brown County,1500663404,2.7015E+12,1500748,2701500748,Active,6/8/2009,0000-00-00
663405,663405,Township of Albion,Township,45.2041315,-94.0685905,766,171,Wright County,17100663405,2.7171E+12,17100766,2717100766,Active,6/8/2009,0000-00-00
663406,663406,Township of Alborn,Township,46.9921625,-92.6143599,820,137,Saint Louis County,13700663406,2.7137E+12,13700820,2713700820,Active,6/8/2009,0000-00-00
663408,663408,Township of Alden,Township,43.6346775,-93.5788287,856,47,Freeborn County,4700663408,2.7047E+12,4700856,2704700856,Active,6/8/2009,0000-00-00
663409,663409,Township of Alden,Township,47.052711,-91.8679569,874,137,Saint Louis County,13700663409,2.7137E+12,13700874,2713700874,Active,6/8/2009,0000-00-00
663411,663411,Township of Aldrich,Township,46.4071843,-94.9675228,910,159,Wadena County,15900663411,2.7159E+12,15900910,2715900910,Active,6/8/2009,0000-00-00
663413,663413,Township of Alexandria,Township,45.8916292,-95.3180914,946,41,Douglas County,4100663413,2.7041E+12,4100946,2704100946,Active,6/8/2009,0000-00-00
663414,663414,Township of Alfsborg,Township,44.5027426,-94.3013655,982,143,Sibley County,14300663414,2.7143E+12,14300982,2714300982,Active,6/8/2009,0000-00-00
663415,663415,Township of Alliance,Township,46.6669058,-96.6147974,1054,27,Clay County,2700663415,2.7027E+12,2701054,2702701054,Active,6/8/2009,0000-00-00
663416,663416,Township of Alma,Township,48.3233088,-96.6981127,1072,89,Marshall County,8900663416,2.7089E+12,8901072,2708901072,Active,6/8/2009,0000-00-00
663417,663417,Township of Almond,Township,45.4555196,-96.4286703,1126,11,Big Stone County,1100663417,2.7011E+12,1101126,2701101126,Active,6/8/2009,0000-00-00
663419,663419,Township of Alta Vista,Township,44.5871852,-96.1555938,1180,81,Lincoln County,8100663419,2.7081E+12,8101180,2708101180,Active,6/8/2009,0000-00-00
663420,663420,Township of Alton,Township,44.0727451,-93.7216153,1198,161,Waseca County,16100663420,2.7161E+12,16101198,2716101198,Active,6/8/2009,0000-00-00
663421,663421,Township of Altona,Township,44.1519135,-96.3850398,1216,117,Pipestone County,11700663421,2.7117E+12,11701216,2711701216,Active,6/8/2009,0000-00-00
663424,663424,Township of Alvwood,Township,47.7163426,-94.2443928,1288,61,Itasca County,6100663424,2.7061E+12,6101288,2706101288,Active,6/8/2009,0000-00-00
663425,663425,Township of Amador,Township,45.5027385,-92.7671582,1306,25,Chisago County,2500663425,2.7025E+12,2501306,2702501306,Active,6/8/2009,0000-00-00
663427,663427,Township of Amboy,Township,44.0574572,-95.1499925,1342,33,Cottonwood County,3300663427,2.7033E+12,3301342,2703301342,Active,6/8/2009,0000-00-00
663428,663428,Township of Amherst,Township,43.6316321,-91.9051545,1396,45,Fillmore County,4500663428,2.7045E+12,4501396,2704501396,Active,6/8/2009,0000-00-00
663429,663429,Township of Amiret,Township,44.3185689,-95.6594574,1432,83,Lyon County,8300663429,2.7083E+12,8301432,2708301432,Active,6/8/2009,0000-00-00
663430,663430,Township of Amo,Township,43.9805135,-95.2861067,1441,33,Cottonwood County,3300663430,2.7033E+12,3301441,2703301441,Active,6/8/2009,6/15/2009
663431,663431,Township of Amor,Township,46.4077378,-95.7139356,1468,111,Otter Tail County,11100663431,2.7111E+12,11101468,2711101468,Active,6/8/2009,0000-00-00
663433,663433,Township of Andover,Township,47.7166387,-96.6728478,1504,119,Polk County,11900663433,2.7119E+12,11901504,2711901504,Active,6/8/2009,0000-00-00
663434,663434,Township of Andrea,Township,46.3260707,-96.342844,1522,167,Wilkin County,16700663434,2.7167E+12,16701522,2716701522,Active,6/8/2009,0000-00-00
663435,663435,Township of Angora,Township,47.7596431,-92.630177,1612,137,Saint Louis County,13700663435,2.7137E+12,13701612,2713701612,Active,6/8/2009,0000-00-00
663436,663436,Township of Angus,Township,48.068307,-96.6956179,1648,119,Polk County,11900663436,2.7119E+12,11901648,2711901648,Active,6/8/2009,0000-00-00
663437,663437,Township of Ann,Township,44.1535689,-95.4086128,1666,33,Cottonwood County,3300663437,2.7033E+12,3301666,2703301666,Active,6/8/2009,0000-00-00
663439,663439,Township of Ann Lake,Township,45.9321807,-93.4524553,1702,65,Kanabec County,6500663439,2.7065E+12,6501702,2706501702,Active,6/8/2009,0000-00-00
663441,663441,Township of Ansel,Township,46.6696824,-94.7177883,1738,21,Cass County,2100663441,2.7021E+12,2101738,2702101738,Active,6/8/2009,0000-00-00
663442,663442,Township of Anthony,Township,47.3683023,-96.6339613,1774,107,Norman County,10700663442,2.7107E+12,10701774,2710701774,Active,6/8/2009,0000-00-00
663443,663443,Township of Antrim,Township,43.8930131,-94.4310775,1810,165,Watonwan County,16500663443,2.7165E+12,16501810,2716501810,Active,6/8/2009,0000-00-00
663445,663445,Township of Appleton,Township,45.198295,-96.0361567,1882,151,Swift County,15100663445,2.7151E+12,15101882,2715101882,Active,6/8/2009,0000-00-00
663447,663447,Township of Arago,Township,47.0152371,-95.1050213,1918,57,Hubbard County,5700663447,2.7057E+12,5701918,2705701918,Active,6/8/2009,0000-00-00
663448,663448,Township of Arbo,Township,47.3377197,-93.5168748,1936,61,Itasca County,6100663448,2.7061E+12,6101936,2706101936,Active,6/8/2009,0000-00-00
663450,663450,Township of Arctander,Township,45.2863514,-95.1983531,1990,67,Kandiyohi County,6700663450,2.7067E+12,6701990,2706701990,Active,6/8/2009,0000-00-00
663452,663452,Township of Ardenhurst,Township,47.8046765,-94.2202231,2044,61,Itasca County,6100663452,2.7061E+12,6102044,2706102044,Active,6/8/2009,0000-00-00
663453,663453,Township of Arena,Township,45.0216304,-96.2933807,2062,73,Lac qui Parle County,7300663453,2.7073E+12,7302062,2707302062,Active,6/8/2009,0000-00-00
663454,663454,Township of Arendahl,Township,43.8035749,-91.9084866,2098,45,Fillmore County,4500663454,2.7045E+12,4502098,2704502098,Active,6/8/2009,0000-00-00
663457,663457,Township of Arlington,Township,44.5874635,-94.0713606,2170,143,Sibley County,14300663457,2.7143E+12,14302170,2714302170,Active,6/8/2009,0000-00-00
663458,663458,Township of Arlone,Township,46.0252281,-92.7507541,2188,115,Pine County,11500663458,2.7115E+12,11502188,2711502188,Active,6/8/2009,0000-00-00
663459,663459,Township of Arna,Township,46.1079994,-92.3593611,2224,115,Pine County,11500663459,2.7115E+12,11502224,2711502224,Active,6/8/2009,0000-00-00
663460,663460,Township of Arrowhead,Township,46.8607771,-92.742141,2278,137,Saint Louis County,13700663460,2.7137E+12,13702278,2713702278,Active,6/8/2009,0000-00-00
663461,663461,Township of Arthur,Township,45.859126,-93.3313372,2296,65,Kanabec County,6500663461,2.7065E+12,6502296,2706502296,Active,6/8/2009,0000-00-00
663462,663462,Township of Arthur,Township,45.6319058,-96.6972921,2314,155,Traverse County,15500663462,2.7155E+12,15502314,2715502314,Active,6/8/2009,0000-00-00
663463,663463,Township of Artichoke,Township,45.3677414,-96.1756093,2350,11,Big Stone County,1100663463,2.7011E+12,1102350,2701102350,Active,6/8/2009,0000-00-00
663464,663464,Township of Arveson,Township,48.572476,-96.4572594,2386,69,Kittson County,6900663464,2.7069E+12,6902386,2706902386,Active,6/8/2009,0000-00-00
663466,663466,Township of Ash Lake,Township,44.4227433,-96.2719854,2476,81,Lincoln County,8100663466,2.7081E+12,8102476,2708102476,Active,6/8/2009,0000-00-00
663467,663467,Township of Ashland,Township,43.981075,-92.8679704,2512,39,Dodge County,3900663467,2.7039E+12,3902512,2703902512,Active,6/8/2009,0000-00-00
663468,663468,Township of Ashley,Township,45.72052,-95.0778034,2530,145,Stearns County,14500663468,2.7145E+12,14502530,2714502530,Active,6/8/2009,0000-00-00
663470,663470,Township of Athens,Township,45.4385752,-93.222449,2602,59,Isanti County,5900663470,2.7059E+12,5902602,2705902602,Active,6/8/2009,0000-00-00
663471,663471,Township of Atherton,Township,46.5924602,-96.4631247,2620,167,Wilkin County,16700663471,2.7167E+12,16702620,2716702620,Active,6/8/2009,0000-00-00
663472,663472,Township of Atkinson,Township,46.6141118,-92.6115836,2656,17,Carlton County,1700663472,2.7017E+12,1702656,2701702656,Active,6/8/2009,0000-00-00
663473,663473,Township of Atlanta,Township,47.0219046,-96.1275553,2674,5,Becker County,500663473,2.7005E+12,502674,2700502674,Active,6/8/2009,0000-00-00
663476,663476,Township of Audubon,Township,46.8524588,-95.9858853,2746,5,Becker County,500663476,2.7005E+12,502746,2700502746,Active,6/8/2009,0000-00-00
663477,663477,Township of Augsburg,Township,48.5088662,-96.7183876,2764,89,Marshall County,8900663477,2.7089E+12,8902764,2708902764,Active,6/8/2009,0000-00-00
663478,663478,Township of Augusta,Township,45.0182974,-96.4036621,2800,73,Lac qui Parle County,7300663478,2.7073E+12,7302800,2707302800,Active,6/8/2009,0000-00-00
663479,663479,Township of Ault,Township,47.2324279,-91.9346225,2818,137,Saint Louis County,13700663479,2.7137E+12,13702818,2713702818,Active,6/8/2009,0000-00-00
663480,663480,Township of Aurdal,Township,46.3255152,-95.9781103,2836,111,Otter Tail County,11100663480,2.7111E+12,11102836,2711102836,Active,6/8/2009,0000-00-00
663481,663481,Township of Aurora,Township,43.9830188,-93.1035364,2890,147,Steele County,14700663481,2.7147E+12,14702890,2714702890,Active,6/8/2009,0000-00-00
663483,663483,Township of Austin,Township,43.6321852,-92.9851929,2926,99,Mower County,9900663483,2.7099E+12,9902926,2709902926,Active,6/8/2009,0000-00-00
663484,663484,Township of Automba,Township,46.5635575,-92.9918773,3016,17,Carlton County,1700663484,2.7017E+12,1703016,2701703016,Active,6/8/2009,0000-00-00
663487,663487,Township of Avon,Township,45.6285758,-94.4483337,3088,145,Stearns County,14500663487,2.7145E+12,14503088,2714503088,Active,6/8/2009,0000-00-00
663490,663490,Township of Badger,Township,47.7094073,-96.0411493,3142,119,Polk County,11900663490,2.7119E+12,11903142,2711903142,Active,6/8/2009,0000-00-00
663492,663492,Township of Badoura,Township,46.8527365,-94.7238968,3178,57,Hubbard County,5700663492,2.7057E+12,5703178,2705703178,Active,6/8/2009,0000-00-00
663494,663494,Township of Baker,Township,45.5460738,-96.1767235,3232,149,Stevens County,14900663494,2.7149E+12,14903232,2714903232,Active,6/8/2009,0000-00-00
663496,663496,Township of Baldwin,Township,45.5169096,-93.5688498,3286,141,Sherburne County,14100663496,2.7141E+12,14103286,2714103286,Active,6/8/2009,0000-00-00
663497,663497,Township of Balkan,Township,47.5624284,-92.8571274,3322,137,Saint Louis County,13700663497,2.7137E+12,13703322,2713703322,Active,6/8/2009,0000-00-00
663498,663498,Township of Ball Bluff,Township,46.9777204,-93.2488264,3358,1,Aitkin County,100663498,2.7001E+12,103358,2700103358,Active,6/8/2009,0000-00-00
663499,663499,Township of Balsam,Township,46.8049464,-93.1204936,3412,1,Aitkin County,100663499,2.7001E+12,103412,2700103412,Active,6/8/2009,0000-00-00
663500,663500,Township of Balsam,Township,47.4946604,-93.4207525,3430,61,Itasca County,6100663500,2.7061E+12,6103430,2706103430,Active,6/8/2009,0000-00-00
663501,663501,Township of Bancroft,Township,43.7180136,-93.3460431,3466,47,Freeborn County,4700663501,2.7047E+12,4703466,2704703466,Active,6/8/2009,0000-00-00
663502,663502,Township of Bandon,Township,44.5830174,-94.8105466,3484,129,Renville County,12900663502,2.7129E+12,12903484,2712903484,Active,6/8/2009,0000-00-00
663503,663503,Township of Bangor,Township,45.5419079,-95.1830814,3502,121,Pope County,12100663503,2.7121E+12,12103502,2712103502,Active,6/8/2009,0000-00-00
663504,663504,Township of Barber,Township,43.7205101,-93.9474543,3520,43,Faribault County,4300663504,2.7043E+12,4303520,2704303520,Active,6/8/2009,0000-00-00
663505,663505,Township of Barclay,Township,46.7721818,-94.3680476,3538,21,Cass County,2100663505,2.7021E+12,2103538,2702103538,Active,6/8/2009,0000-00-00
663507,663507,Township of Barnesville,Township,46.6757937,-96.4870145,3592,27,Clay County,2700663507,2.7027E+12,2703592,2702703592,Active,6/8/2009,0000-00-00
663508,663508,Township of Barnett,Township,48.6805319,-96.0711203,3610,135,Roseau County,13500663508,2.7135E+12,13503610,2713503610,Active,6/8/2009,0000-00-00
663510,663510,Township of Barnum,Township,46.4980012,-92.6499194,3646,17,Carlton County,1700663510,2.7017E+12,1703646,2701703646,Active,6/8/2009,0000-00-00
663513,663513,Township of Barry,Township,46.0296732,-92.8665906,3736,115,Pine County,11500663513,2.7115E+12,11503736,2711503736,Active,6/8/2009,0000-00-00
663514,663514,Township of Barsness,Township,45.5382947,-95.4480914,3754,121,Pope County,12100663514,2.7121E+12,12103754,2712103754,Active,6/8/2009,0000-00-00
663515,663515,Township of Bartlett,Township,46.3280182,-94.9691904,3790,153,Todd County,15300663515,2.7153E+12,15303790,2715303790,Active,6/8/2009,0000-00-00
663516,663516,Township of Barto,Township,48.766089,-96.205848,3808,135,Roseau County,13500663516,2.7135E+12,13503808,2713503808,Active,6/8/2009,0000-00-00
663517,663517,Township of Bashaw,Township,44.1521808,-94.9194319,3826,15,Brown County,1500663517,2.7015E+12,1503826,2701503826,Active,6/8/2009,0000-00-00
663519,663519,Township of Bassett,Township,47.492977,-91.8937796,3880,137,Saint Louis County,13700663519,2.7137E+12,13703880,2713703880,Active,6/8/2009,0000-00-00
663520,663520,Township of Bath,Township,43.8027369,-93.3493777,3934,47,Freeborn County,4700663520,2.7047E+12,4703934,2704703934,Active,6/8/2009,0000-00-00
663521,663521,Township of Battle,Township,47.9777367,-94.69803,3952,7,Beltrami County,700663521,2.7007E+12,703952,2700703952,Active,6/8/2009,0000-00-00
663523,663523,Township of Battle Plain,Township,43.8030235,-96.1103028,3988,133,Rock County,13300663523,2.7133E+12,13303988,2713303988,Active,6/8/2009,0000-00-00
663526,663526,Township of Baxter,Township,44.9327366,-95.9133649,4060,73,Lac qui Parle County,7300663526,2.7073E+12,7304060,2707304060,Active,6/8/2009,0000-00-00
