,/@Count,/@Count/#agg,/@Rows,/tri_facility/ASGN_AGENCY,/tri_facility/ASGN_FEDERAL_IND,/tri_facility/ASGN_PARTIAL_IND,/tri_facility/ASGN_PARTIAL_IND/#agg,/tri_facility/ASGN_PUBLIC_CONTACT,/tri_facility/ASGN_PUBLIC_CONTACT_EMAIL,/tri_facility/ASGN_PUBLIC_PHONE,/tri_facility/ASGN_PUBLIC_PHONE_EXT,/tri_facility/ASGN_PUBLIC_PHONE_EXT/#agg,/tri_facility/BIA_CODE,/tri_facility/CITY_NAME,/tri_facility/COUNTY_NAME,/tri_facility/FAC_CLOSED_IND,/tri_facility/FAC_CLOSED_IND/#agg,/tri_facility/FAC_LATITUDE,/tri_facility/FAC_LATITUDE/#agg,/tri_facility/FAC_LONGITUDE,/tri_facility/FAC_LONGITUDE/#agg,/tri_facility/FACILITY_NAME,/tri_facility/FRS_ID,/tri_facility/MAIL_CITY,/tri_facility/MAIL_COUNTRY,/tri_facility/MAIL_NAME,/tri_facility/MAIL_PROVINCE,/tri_facility/MAIL_STATE_ABBR,/tri_facility/MAIL_STREET_ADDRESS,/tri_facility/MAIL_ZIP_CODE,/tri_facility/PARENT_CO_DB_NUM,/tri_facility/PARENT_CO_NAME,/tri_facility/PREF_ACCURACY,/tri_facility/PREF_ACCURACY/#agg,/tri_facility/PREF_COLLECT_METH,/tri_facility/PREF_DESC_CATEGORY,/tri_facility/PREF_HORIZONTAL_DATUM,/tri_facility/PREF_LATITUDE,/tri_facility/PREF_LATITUDE/#agg,/tri_facility/PREF_LONGITUDE,/tri_facility/PREF_LONGITUDE/#agg,/tri_facility/PREF_QA_CODE,/tri_facility/PREF_QA_CODE/#agg,/tri_facility/PREF_SOURCE_SCALE,/tri_facility/REGION,/tri_facility/REGION/#agg,/tri_facility/STANDARDIZED_PARENT_COMPANY,/tri_facility/STATE_ABBR,/tri_facility/STATE_COUNTY_FIPS_CODE,/tri_facility/STATE_COUNTY_FIPS_CODE/#agg,/tri_facility/STREET_ADDRESS,/tri_facility/TRI_FACILITY_ID,/tri_facility/ZIP_CODE,/tri_facility/ZIP_CODE/#agg
1,1264,1264,0-100000,,C,0,0,ANDREW CZECH,ANDREW.CZECH@RECOVERYTECHNOLOGYSOLUTIONS.COM,9524057403,,,,SHAKOPEE,SCOTT,0,0,,,,,RECOVERY TECHNOLOGY SOLUTIONS LLC,,SHAKOPEE,,RECOVERY TECHNOLOGY SOLUTIONS LLC,,MN,6528 COUNTY RD 101E,55379,,,,,,,,,,,,,,,5,5,,MN,27139,27139,6528 COUNTY RD 101E,5337WRCVRY6528C,55379,55379
2,1264,,0-100000,,C,0,0,KIMBERLY WELCH,KIMBERLY.WELCH@ANDERSENCORP.COM,6512642930,,,,BAYPORT,WASHINGTON,0,0,450205,450205,924631,924631,ANDERSEN CORP,,BAYPORT,,ANDERSEN CORP,,MN,100 4TH AVE N,55003,,ANDERSEN CORP,500,500,UN,UN,1,45.034722,45.034722,92.775278,92.775278,1010,1010,U,5,5,ANDERSEN CORP,MN,27163,27163,100 4TH AVE N,55003NDRSNFOOTO,55003,55003
3,1264,,0-100000,,C,0,0,ARTHUR ZIMMERMAN,ARTHUR.T.ZIMMERMAN@XCELENERGY.COM,6123307823,,,,BAYPORT,WASHINGTON,0,0,450149,450149,924643,924643,XCEL ENERGY A S KING GENERATING PLANT,,MINNEAPOLIS,,XCEL ENERGY A S KING GENERATING PLANT,,MN,414 NICOLLET MALL (MP- 7),55401,848381245,XCEL ENERGY,,,,,,,,,,,,,5,5,XCEL ENERGY,MN,27163,27163,1103 KING RD,55003SKNGG1103K,55003,55003
4,1264,,0-100000,,C,0,0,JESSE LONGTIN,JLONGTIN@CMP-WWM.COM,7636894800,,,,CAMBRIDGE,ISANTI,0,0,453407,453407,931309,931309,CAMBRIDGE METALS and PLASTICS,,CAMBRIDGE,,CAMBRIDGE METALS and PLASTICS,,MN,500 S CLEVELAND,55008,148212868,WATER WORKS MANUFACTURING,,,,,,,,,,,,,5,5,WATER WORKS MANUFACTURING,MN,27059,27059,500 S CLEVELAND,55008CMBRD500SC,55008,55008
5,1264,,0-100000,,C,0,0,DANIEL ROSE,,6126895800,,,,CAMBRIDGE,ISANTI,0,0,453345,453345,931312,931312,CANADIAN HARVEST USA,,CAMBRIDGE,,CANADIAN HARVEST USA,,MN,1001 S CLEVELAND ST,55008,1315704,E I DU PONT DE NEMOURS and CO INC,600,600,UN,UN,1,45.5625,45.5625,93.22,93.22,1010,1010,U,5,5,,MN,27059,27059,1001 S CLEVELAND ST,55008CNDNH1001S,55008,55008
6,1264,,0-100000,,C,0,0,MATT HERMAN,,7632412437,,,,CAMBRIDGE,ISANTI,0,0,,,,,GREAT RIVER ENERGY CAMBRIDGE,,ELK RIVER,,GREAT RIVER ENERGY,,MN,17845 HWY 10 E,55330,,,,,,,,,,,,,,,5,5,,MN,27059,27059,2438 349TH AVE,55008GRTRV24383,55008,55008
7,1264,,0-100000,,C,0,0,TOM STRATTON,,7636893360,,,,CAMBRIDGE,ISANTI,0,0,453451,453451,931255,931255,ARROW TANK and ENGINEERING CO,,CAMBRIDGE,,ARROW TANK and ENGINEERING CO,,MN,650 N EMERSON,55008,,,150,150,A1,PG,1,45.580774,45.580774,93.215336,93.215336,1000,1000,J,5,5,,MN,27059,27059,650 N EMERSON,55008RRWTN650NO,55008,55008
8,1264,,0-100000,,C,0,0,JO ANN DOFFING,JOANNDOFFING@TEAM-IND.COM,7636891333,,,,CAMBRIDGE,ISANTI,0,0,453416,453416,931258,931258,TEAM INDUSTRIES-CAMBRIDGE,,CAMBRIDGE,,TEAM INDUSTRIES-CAMBRIDGE,,MN,625 SECOND AVE SE,55008,161923206,TEAM INDUSTRIES,,,,,,,,,,,,,5,5,TEAM INDUSTRIES,MN,27059,27059,625 SECOND AVE SE,55008TMNDS625SE,55008,55008
9,1264,,0-100000,,C,0,0,NICHOLE HESTER,NICHOLE.HESTER@HENKEL.COM,5072633766,,,,CANNON FALLS,GOODHUE,0,0,443110,443110,925411,925411,BERGQUIST CO,,CANNON FALLS,,BERGQUIST CO,,MN,PO BOX 516,55009,51441731,HENKEL CORP,150,150,UN,UN,1,44.519444,44.519444,92.903056,92.903056,1010,1010,U,5,5,HENKEL CORP,MN,27049,27049,301 WASHINGTON ST W,55009BRGQS301WA,55009,55009
10,1264,,0-100000,,C,0,0,SHANE K. BEAUDIN,SBEAUDIN@CANNONEQUIPMENT.COM,5072636452,,,,CANNON FALLS,GOODHUE,0,0,443106,443106,925413,925413,CANNON EQUIPMENT MIDWEST,,CANNON FALLS,,CANNON EQUIPMENT MIDWEST,,MN,324 W WASHINGTON ST,55009,56542780,CANNON EQUIPMENT CO,150,150,A1,PG,1,44.5189,44.5189,92.902669,92.902669,1000,1000,J,5,5,CANNON EQUIPMENT CO,MN,27049,27049,324 W WASHINGTON ST,55009CNNNQ324WW,55009,55009
11,1264,,0-100000,,C,0,0,FRED OSS,FRED.OSS@GEMINISIGNPRODUCTS.COM,5072633957,1014,1014,,CANNON FALLS,GOODHUE,0,0,443114,443114,925418,925418,GEMINI - CANNON FALLS,,CANNON FALLS,,GEMINI - CANNON FALLS,,MN,103 MENSING WAY,55009,6257430,GEMINI INC,11000,11000,UN,UN,1,44.521667,44.521667,92.905278,92.905278,1000,1000,U,5,5,GEMINI INC,MN,27049,27049,103 MENSING WAY,55009GMNNC103ME,55009,55009
12,1264,,0-100000,,C,0,0,CINDY ILLA,,5072633983,,,,CANNON FALLS,GOODHUE,0,0,443108,443108,925403,925403,AMESBURY GROUP INC,,CANNON FALLS,,AMESBURY GROUP INC,,MN,PO BOX 456,55009-0456,,,,,,,,,,,,,,,5,5,,MN,27049,27049,105 WASHINGTON ST,55009MSBRY105WA,550090456,550090456
13,1264,,0-100000,,C,0,0,PATRICK BERGIN,PBERGIN@CEMSTONE.COM,6516864221,,,,EAST BETHEL,ANOKA,0,0,,,,,CEMSTONE - EAST BETHEL,,MENDOTA HEIGHTS,,CEMSTONE - EAST BETHEL,,MN,"2025 CENTRE POINTE BLVD, SUITE 300",55120,,CEMSTONE PRODUCTS CO,,,,,,,,,,,,,5,5,CEMSTONE PRODUCTS CO,MN,27003,27003,24480 BALTIMORE STREET NW,5500WCMSTN2448B,55005,55005
14,1264,,0-100000,,C,0,0,DAVID PROVOST,DPROVOST@USWATERSERVICES.COM,7634978771,,,,CAMBRIDGE,ISANTI,0,0,,,,,US WATER SERVICES,,ST MICHAEL,,US WATER SERVICES,,MN,12270 43RD ST NE,55376,6961296,ALLETE INC,,,,,,,,,,,,,5,5,ALLETE INC,MN,27059,27059,330 S CLEVELAND ST,5500WSWTRS33SCL,55008,55008
15,1264,,0-100000,,C,0,0,Kurt Nuss,knuss@tyrenergy.com,9137545747,,,,COTTAGE GROVE,WASHINGTON,0,0,444736,444736,925400,925400,LSP - COTTAGE GROVE LP,,COTTAGE GROVE,,LSP - COTTAGE GROVE LP,,MN,9525 105TH ST CT S,55016,,LSP COTTAGE GROVE I LLC,,,,,,,,,,,,,5,5,TYR ENERGY LLC,MN,27163,27163,9525 105TH ST CT S,55016LSPCT95251,55016,55016
16,1264,,0-100000,,C,0,0,DAN CARLSON,EPCRA@MMM.COM,6514582001,,,,COTTAGE GROVE,WASHINGTON,0,0,444719,444719,925415,925415,3M COTTAGE GROVE CENTER,,COTTAGE GROVE,,3M COTTAGE GROVE CENTER,,MN,10746 INNOVATION RD,55016,6173082,3M CO,150,150,UN,UN,1,44.788611,44.788611,92.904167,92.904167,1010,1010,U,5,5,3M CO,MN,27163,27163,10746 INNOVATION RD,55016MCHMLHIGHW,55016,55016
17,1264,,0-100000,,C,0,0,PERRY HANES,PERRY@UPNPLASTICS.COM,6517346000,,,,COTTAGE GROVE,WASHINGTON,0,0,,,,,UP NORTH PLASTICS INC,,COTTAGE GROVE,,UP NORTH PLASTICS INC,,MN,P.O. BOX 159,55016,,,,,,,,,,,,,,,5,5,,MN,27163,27163,9480 JAMAICA AVE S,55016PNRTH948JA,55016,55016
18,1264,,0-100000,,C,0,0,RALPH STUART,,5073342017,,,,FARIBAULT,RICE,0,0,441740,441740,931550,931550,BEATRICE CHEESE INC,,FARIBAULT,,BEATRICE CHEESE INC,,MN,222 NE 3RD ST,55021,,,150,150,UN,UN,1,44.294444,44.294444,93.263889,93.263889,1010,1010,U,5,5,,MN,27131,27131,222 NE 3RD ST,55021BTRCC222NE,55021,55021
19,1264,,0-100000,,C,0,0,CORY HULSING,CORY.HULSING@CROWNCORK.COM,5073343981,,,,FARIBAULT,RICE,0,0,441736,441736,931736,931736,CROWN AEROSOL PACKAGING,,FARIBAULT,,CROWN AEROSOL PACKAGING,,MN,4TH ST and PARK AVE,55021,2282341,CROWN HOLDINGS INC,500,500,UN,UN,1,44.293333,44.293333,93.293333,93.293333,1010,1010,U,5,5,CROWN HOLDINGS INC,MN,27131,27131,4TH ST and PARK AVE,55021CRWNCPOBOX,55021,55021
20,1264,,0-100000,,C,0,0,WENDY WATKINS,WAWATKINS@HORMEL.COM,5074375355,,,,FARIBAULT,RICE,0,0,,,,,JENNIE-O-TURKEY STORE FARIBAULT FEED MILL,,FARIBAULT,,JENNIE-O-TURKEY STORE FARIBAULT FEED MILL,,MN,25475 CABOT AVE,55021,6147383,HORMEL FOODS CORP,,,,,,,,,,,,,5,5,HORMEL FOODS CORP,MN,27131,27131,25475 CABOT AVE,55021JNNTR25475,55021,55021
21,1264,,0-100000,,C,0,0,WENDY WATKINS,WAWATKINS@HORMEL.COM,5074375355,,,,FARIBAULT,RICE,0,0,441728,441728,931602,931602,JENNIE-O TURKEY STORE INC,,FARIBAULT,,JENNIE-O TURKEY STORE INC,,MN,1116 NW 4TH AVE NW,55021,616076600,HORMEL FOODS CORP,150,150,UN,UN,1,44.291111,44.291111,93.267222,93.267222,1010,1010,U,5,5,HORMEL FOODS CORP,MN,27131,27131,1116 NW 4TH AVE NW,55021JRMFD1116N,55021,55021
22,1264,,0-100000,,C,0,0,TIM FORD,TIM.FORD@NORTHERNTOOL.COM,5073332284,,,,FARIBAULT,RICE,0,0,441929,441929,931750,931750,NORTHERN TOOL and EQUIPMENT,,FARIBAULT,,NORTHERN TOOL and EQUIPMENT,,MN,2050 AIRTECH RD,55021,,,,,,,,,,,,,,,5,5,,MN,27131,27131,2050 AIRTECH RD,55021KBRND2050A,55021,55021
23,1264,,0-100000,,C,0,0,ERIC P. GUSTAFSON,EGUSTAFSON@KGMFG.COM,5073345501,209,209,,FARIBAULT,RICE,0,0,441739,441739,931619,931619,K and G MANUFACTURING CO,,FARIBAULT,,K and G MANUFACTURING CO,,MN,"226 PARK AVE NW, BOX 187",55021,,,11000,11000,UN,UN,1,44.294167,44.294167,93.271944,93.271944,1000,1000,U,5,5,K and G MANUFACTURING CO,MN,27131,27131,226 PARK AVE NW,55021KGMNF226PA,55021,55021
24,1264,,0-100000,,C,0,0,RICK HANDER,,5074273222,,,,FARIBAULT,RICE,0,0,441930,441930,931830,931830,PROTIENT INC,,FARIBAULT,,PROTIENT INC,,MN,1612 NW 7TH ST,55021,,,150,150,A1,PG,1,44.297712,44.297712,93.291244,93.291244,1000,1000,J,5,5,,MN,27131,27131,1612 NW 7TH ST,55021LNDLK1612N,55021,55021
25,1264,,0-100000,,C,0,0,MARK R. TRESIDDER,MARKTRES@HICKORYTECH.NET,5073314791,,,,FARIBAULT,RICE,0,0,,,,,MINNESOTA MUNICIPAL POWER AGENCY FARIBAULT ENERGY PARK,,FARIBAULT,,MINNESOTA MUNICIPAL POWER AGENCY FARIBAULT ENERGY PARK,,MN,4100 PARK AVE,55021,19634836,MINNESOTA MUNICIPAL POWER AGENCY,,,,,,,,,,,,,5,5,MINNESOTA MUNICIPAL POWER AGENCY,MN,27131,27131,4100 PARK AVE,55021MNNST41PAR,55021,55021
26,1264,,0-100000,,C,0,0,JIM STICKNEY,JAMES.STICKNEY@DAIKINAPPLIED.COM,5073333008,,,,FARIBAULT,RICE,0,0,441859,441859,931624,931624,DAIKIN APPLIED,,FARIBAULT,,DAIKIN APPLIED,,MN,300 24TH ST NW,55021,883366668,DAIKIN AMERICA INC,500,500,I1,UN,1,44.3165,44.3165,93.2733,93.2733,1000,1000,J,5,5,DAIKIN AMERICA INC,MN,27131,27131,300 24TH ST NW,55021SNYDR30024,55021,55021
27,1264,,0-100000,,C,0,0,,,,,,,FARMINGTON,DAKOTA,0,0,443832,443832,931025,931025,DUO PLASTICS INC,,FARMINGTON,,DUO PLASTICS INC,,MN,5119 W 212TH ST,55024,,,,,,,,,,,,,,,5,5,,MN,27037,27037,5119 W 212TH ST,55024DPLST5119W,55024,55024
28,1264,,0-100000,,C,0,0,JAMES MORRIS,JAMES.MORRIS@VALMONT.COM,6514639137,,,,FARMINGTON,DAKOTA,0,0,443842,443842,931005,931005,VALMONT INDUSTRIES INC,,FARMINGTON,,VALMONT INDUSTRIES INC,,MN,20805 EATON AVE,55024,7267214,VALMONT INDUSTRIES INC,,,,,,,,,,,,,5,5,VALMONT INDUSTRIES INC,MN,27037,27037,20805 EATON AVE,55024LXNGT20805,55024,55024
29,1264,,0-100000,,C,0,0,DAVID SEEFELDT,DAVID.SEEFELDT@KEMPS.COM,6514607817,,,,FARMINGTON,DAKOTA,0,0,443836,443836,930834,930834,KEMPS LLC,,FARMINGTON,,KEMPS LLC,,MN,15 - 4TH ST,55024,29855640,DAIRY FARMERS OF AMERICA INC,150,150,UN,UN,1,44.643333,44.643333,93.142778,93.142778,1010,1010,U,5,5,DAIRY FARMERS OF AMERICA INC,MN,27037,27037,15 - 4TH ST,55024MRGLD15FOU,55024,55024
30,1264,,0-100000,,C,0,0,WILLIAM H. JAHNKE,WJAHNKE@GMAIL.COM,6307152296,,,,FOREST LAKE,WASHINGTON,0,0,,,,,OASIS SYSTEMS INC.,,AURORA,,OASIS SYSTEMS INC.,,IL,1600 MOUNTAIN ST,60505,,,150,150,A1,PG,1,45.271443,45.271443,93.00339,93.00339,1000,1000,J,5,5,,MN,27163,27163,794 SW 15TH ST,55025RYLNN794SW,55025,55025
31,1264,,0-100000,,C,0,0,PATRICK BERGIN,PBERGIN@CEMSTONE.COM,6516889292,,,,FOREST LAKE,ANOKA,0,0,,,,,CEMSTONE - COLUMBUS,,MENDOTA HEIGHTS,,CEMSTONE - COLUMBUS,,MN,"2025 CENTRE POINTE BLVD, SUITE 300",55120,,CEMSTONE PRODUCTS CO,,,,,,,,,,,,,5,5,CEMSTONE PRODUCTS CO,MN,27003,27003,14609 LAKE DR NE,5502WCMSTN1469L,55025,55025
32,1264,,0-100000,,C,0,0,PATRICK BERGIN,PBERGIN@CEMSTONE.COM,6516864221,,,,ROSEMOUNT,DAKOTA,1,1,0,0,0,0,CEMSTONE - ROSEMOUNT,,MENDOTA HEIGHTS,,CEMSTONE - ROSEMOUNT,,MN,"2025 CENTRE POINTE BLVD, SUITE 300",55120,6454730,CEMSTONE PRODUCTS CO,,,,,,,,,,,,,5,5,CEMSTONE PRODUCTS CO,MN,27037,27037,4360 - 170TH STREET,5502WCMSTN43617,55024,55024
33,1264,,0-100000,,C,0,0,TODD CLARK,,6514373161,,,,HASTINGS,DAKOTA,0,0,444419,444419,925050,925050,CONAGRA FOODS GRAIN PROCESSING CO,,HASTINGS,,CONAGRA FOODS GRAIN PROCESSING CO,,MN,1 KING MIDAS PARK,55033,7258908,CONAGRA FOODS INC,150,150,UN,UN,1,44.738611,44.738611,92.847222,92.847222,1010,1010,U,5,5,,MN,27037,27037,1 KING MIDAS PARK,55033CNGRF2005V,55033,55033
34,1264,,0-100000,,C,0,0,JOHN ROBINSON,,6124376666,,,,HASTINGS,DAKOTA,1,1,444309,444309,925042,925042,CURTIS ELECTRONICS CORP,,HASTINGS,,CURTIS ELECTRONICS CORP,,MN,700 SPIRAL BLVD,55033,,,11000,11000,UN,UN,1,44.719167,44.719167,92.845,92.845,1000,1000,U,5,5,,MN,27037,27037,700 SPIRAL BLVD,55033CRTSL700SP,55033,55033
35,1264,,0-100000,,C,0,0,,,,,,,HASTINGS,DAKOTA,0,0,444441,444441,925009,925009,INTEK PLASTICS INC,,HASTINGS,,INTEK PLASTICS INC.,,MN,800 E. 10TH ST.,55033-2299,,,150,150,A1,PG,1,44.7195,44.7195,92.835304,92.835304,1000,1000,J,5,5,,MN,27037,27037,1000 SPIRIAL BLVD,55033MSTRN1000S,550332299,550332299
36,1264,,0-100000,,C,0,0,TOM SZALAPSKI,,6124377700,,,,HASTINGS,DAKOTA,0,0,444405,444405,925025,925025,INTEK PLASTICS INC,,HASTINGS,,INTEK PLASTICS INC,,MN,800 E 10TH ST,55033-2299,,,500,500,UN,UN,1,44.744722,44.744722,92.835833,92.835833,1010,1010,U,5,5,,MN,27037,27037,800 E 10TH ST,55033NTKWT800EA,550332299,550332299
37,1264,,0-100000,,C,0,0,BOYD ABBE,BJABBE@TAYLORCORP.COM,5073865890,,,,HUGO,ANOKA,0,0,450945,450945,930118,930118,AD GRAPHICS,,HUGO,,AD GRAPHICS,,MN,PO BOX 437,55038,6175806,TAYLOR CORP,,,,,,,,,,,,,5,5,,MN,27003,27003,2300 MAIN ST,55038DGRPH2300M,55038,55038
38,1264,,0-100000,,C,0,0,UNITED STATES COMPLIANCE CORPORATION,EPCRA@USCOMPLIANCE.COM,9522523000,,,,HUGO,WASHINGTON,0,0,450830,450830,930014,930014,LOAD MASTER LUBRICANTS,,HUGO,,LOAD MASTER LUBRICANTS,,MN,13615 FENWAY BLVD CT N,55038,,,,,,,,,,,,,,,5,5,LOAD MASTER LUBRICANTS,MN,27163,27163,13615 FENWAY BLVD CT N,55038NRLKS13615,55038,55038
