,Median Income,State,County,Tract
0,56406.0,27,001,790502
1,45846.0,27,001,770200
2,42461.0,27,001,770300
3,47366.0,27,001,770100
4,41750.0,27,001,770400
5,40764.0,27,001,790501
6,95565.0,27,003,050218
7,106793.0,27,003,050223
8,102565.0,27,003,050224
9,82145.0,27,003,050228
10,91731.0,27,003,050233
11,92875.0,27,003,050234
12,66691.0,27,003,050235
13,55559.0,27,003,050504
14,72798.0,27,003,050609
15,56046.0,27,003,050710
16,55792.0,27,003,050807
17,81672.0,27,003,050902
18,62127.0,27,003,051101
19,60977.0,27,003,051102
20,51536.0,27,003,051400
21,59331.0,27,003,051502
22,102898.0,27,003,050215
23,104375.0,27,003,050114
24,84773.0,27,003,050210
25,105219.0,27,003,050220
26,106638.0,27,003,050221
27,90385.0,27,003,050226
28,133438.0,27,003,050230
29,48000.0,27,003,050606
30,87891.0,27,003,050711
31,62009.0,27,003,050808
32,61479.0,27,003,050811
33,47750.0,27,003,051001
34,80517.0,27,003,050813
35,52989.0,27,003,051206
36,93250.0,27,003,050229
37,60530.0,27,003,050602
38,78339.0,27,003,050605
39,53368.0,27,003,050901
40,59507.0,27,003,051002
41,68636.0,27,003,051103
42,51898.0,27,003,051302
43,69727.0,27,003,050704
44,77708.0,27,003,050107
45,67117.0,27,003,050610
46,93975.0,27,003,050707
47,67656.0,27,003,050709
48,45625.0,27,003,051305
49,38750.0,27,003,051501
50,83929.0,27,003,050111
51,96328.0,27,003,050225
52,93427.0,27,003,050109
53,90000.0,27,003,050115
54,110725.0,27,003,050208
55,91406.0,27,003,050219
56,112336.0,27,003,050222
57,88114.0,27,003,050227
58,54178.0,27,003,050505
59,55125.0,27,003,050607
60,50702.0,27,003,050608
61,73875.0,27,003,050702
62,53854.0,27,003,050706
63,81168.0,27,003,050806
64,40912.0,27,003,051201
65,62417.0,27,003,051202
66,56343.0,27,003,051203
67,75000.0,27,003,050108
68,82368.0,27,003,050110
69,111406.0,27,003,050216
70,98214.0,27,003,050232
71,66575.0,27,003,050712
72,60769.0,27,003,050809
73,55053.0,27,003,050810
74,94904.0,27,003,050116
75,107188.0,27,003,050217
76,53900.0,27,003,051304
77,40436.0,27,003,050501
78,87404.0,27,003,050805
79,95662.0,27,003,050816
80,103517.0,27,003,050821
81,57361.0,27,003,050401
82,133396.0,27,003,050819
83,104671.0,27,003,050820
84,109769.0,27,003,050818
85,49095.0,27,003,050402
86,100550.0,27,003,050237
87,128684.0,27,003,050236
88,86042.0,27,003,051600
