,UNI_TYP_left,UNI_MAJ_left,UNI_IMD,ORGID,ORGID_NUM,SCHNAME,ADDRESS,CITY,ZIP,SCH_TYPE,SCH_TYPE1,SCH_TYPE2,SCH_LEVEL,GRADE,CLASS,SDNUM,SDNAME,CTYNUM,FIPSNUM,CTYNAME,MAGNET,DATE_ENTRY,FED_SCHNUM,ALT_NAME,WEB_URL,YEAR,geometry,Unnamed: 0,School Name,Demographic Description,Ending Status,Four Year Percent,Four Year Total,Physical Line 1,Physical City,Physical State,Physical Zip,Consistent Attendance,index_right,SECSCHOOL,STATE,BLOCKGROUP,BLOCK,TRACT,MCD,SUBMCD,PLACE,UNI_MAJ_right,UNI_TYP_right,UNI_NAM,HIGH_NAME,MIDD_NAME,ELEM_NAME,POPULATION
0,01,0497,020,010497020000,10497020000.0,Lyle High,700 E 2ND ST,LYLE,55953,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,497,Lyle,50,99,Mower,NO,4/13/2007,271836000854.0,,http://www.lyle.k12.mn.us,SY2018-19,POINT (504565.8762999997 4817361.120999999),955,LYLE SECONDARY,All Students,Graduate,90.0,20,700 E 2nd St,Lyle,MN,55953-0359,69.72,83609,,27,270990013004,270990013004109,27099001300,2709938654,,2738654,0497,01,Lyle,LYLE,,LYLE,112
1,01,0499,030,010499030000,10499030000.0,Leroy High,406 W MAIN ST,LEROY,55951,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,499,Leroy-Ostrander,50,99,Mower,NO,4/13/2007,271806000832.0,,http://www.leroy.k12.mn.us,SY2018-19,POINT (539614.6634 4817954.676100001),959,LEROY SECONDARY,All Students,Graduate,100.0,18,406 W Main St,LeRoy,MN,55951,95.68,83080,,27,270990013003,270990013003006,27099001300,2709936620,,2736620,0499,01,Leroy-Ostrander,LEROY-OSTRANDER,,LEROY-OSTRANDER,25
2,01,0238,002,010238002000,10238002000.0,Mabel-Canton High,316 W FILLMORE AVE,MABEL,55954,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,238,Mabel-Canton,23,45,Fillmore,NO,4/13/2007,271854000858.0,,http://www.mabelcanton.k12.mn.us,SY2018-19,POINT (599145.5640000002 4819253.500800001),538,MABEL-CANTON SECONDARY,All Students,Graduate,95.65,23,316 W Fillmore Ave,Mabel,MN,55954,85.33,244664,,27,270459606004,270459606004032,27045960600,2704538888,,2738888,0238,01,Mabel-Canton,MABEL-CANTON,,MABEL-CANTON,36
3,01,2198,456,012198456000,12198456000.0,Fillmore Central High,145 MAIN AVE S,HARMONY,55939,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,2198,Fillmore Central,23,45,Fillmore,NO,4/13/2007,270010000691.0,,http://www.rschooltoday.com/fcentral,SY2018-19,POINT (579909.1255000001 4822722.001800001),1777,FILLMORE CENTRAL SENIOR HIGH,All Students,Graduate,98.04,51,145 Main Ave S,Harmony,MN,55939-0599,86.71,245173,,27,270459605003,270459605003046,27045960500,2704527188,,2727188,2198,01,Fillmore Central,FILLMORE CENTRAL,,FILLMORE CENTRAL,0
4,01,2886,300,012886300000,12886300000.0,G-E High,230 5TH ST SE,GLENVILLE,56036,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,2886,Glenville-Emmons,24,47,Freeborn,NO,4/13/2007,270014800635.0,,http://www.geschools.com,SY2018-19,POINT (477743.4357000003 4823853.498),1905,GLENVILLE-EMMONS SECONDARY,All Students,Graduate,87.5,16,230 5th St SE,Glenville,MN,56036-0038,86.54,84709,,27,270471810001,270471810001091,27047181000,2704724056,,2724056,2886,01,Glenville-Emmons,GLENVILLE-EMMONS,,GLENVILLE-EMMONS,11
5,01,0500,040,010500040000,10500040000.0,Southland High,203 2ND ST NW,ADAMS,55909,PUBLIC,HIGH,SENIOR HIGH,SCHOOL,9-12,32,500,Southland,50,99,Mower,NO,4/13/2007,270272000052.0,,http://www.isd500.k12.mn.us,SY2018-19,POINT (522815.0601000004 4824006.9976),963,SOUTHLAND SENIOR HIGH,All Students,Graduate,97.92,48,203 2nd St NW,Adams,MN,55909,80.29,82390,,27,270990013002,270990013002115,27099001300,2709900190,,2700190,0500,01,Southland,SOUTHLAND,SOUTHLAND,SOUTHLAND,20
6,01,0297,020,010297020000,10297020000.0,Spring Grove High,113 2ND AVE NW,SPRING GROVE,55974,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,297,Spring Grove,28,55,Houston,NO,4/13/2007,273330001459.0,,http://www.springgrove.k12.mn.us,SY2018-19,POINT (609678.7478 4824014.497099999),729,SPRING GROVE SECONDARY,All Students,Graduate,100.0,25,113 2nd Ave NW,Spring Grove,MN,55974-0626,88.89,244255,,27,270550209001,270550209001149,27055020900,2705561852,,2761852,0297,01,Spring Grove,SPRING GROVE,,SPRING GROVE,0
7,01,0671,020,010671020000,10671020000.0,Hills-Beaver Creek High,301 N SUMMIT AVE,HILLS,56138,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,6-12,33,671,Hills-Beaver Creek,67,133,Rock,NO,6/11/2012,271404000727.0,,http://hbcpatriots.com,SY2018-19,POINT (228213.1993000004 4825414.026799999),1244,HILLS-BEAVER CREEK SECONDARY,All Students,Graduate,96.55,29,301 N Summit Ave,Hills,MN,56138-0547,93.14,28071,,27,271335703002,271335703002033,27133570300,2713340796,,,0671,01,Hills-Beaver Creek,HILLS-BEAVER CREEK,,HILLS-BEAVER CREEK,2
8,01,2895,113,012895113000,12895113000.0,JCC High,1128 N HWY,JACKSON,56143,PUBLIC,HIGH,SENIOR HIGH,SCHOOL,9-12,32,2895,Jackson County Central,32,63,Jackson,NO,4/13/2007,270023100773.0,,http://www.jccschools.com,SY2018-19,POINT (338779.7192000002 4832186.5012),1921,JACKSON COUNTY CENTRAL SENIOR HIGH,All Students,Graduate,95.35,86,1128 N Hwy,Jackson,MN,56143-1075,82.63,34985,,27,270634804004,270634804004012,27063480400,2706331562,,2731562,2895,01,Jackson County Central,JCC,JCC,RIVERSIDE,0
9,01,2752,060,012752060000,12752060000.0,Fairmont High,900 JOHNSON ST,FAIRMONT,56031,PUBLIC,HIGH,SECONDARY SCHOOL,SCHOOL,7-12,33,2752,Fairmont Area,46,91,Martin,NO,4/13/2007,270012400553.0,,http://fairmont.k12.mn.us,SY2018-19,POINT (383087.4689999996 4832576.5559),1857,FAIRMONT JR./SR. HIGH SCHOOL,All Students,Graduate,91.24,137,900 Johnson St,Fairmont,MN,56031-4598,83.28,37276,,27,270917905005,270917905005001,27091790500,2709120330,,2720330,2752,01,Fairmont Area,FAIRMONT,,FAIRMONT,0
