,UNI_TYP,UNI_MAJ,UNI_IMD,ORGID,ORGID_NUM,SCHNAME,ADDRESS,CITY,ZIP,SCH_TYPE,SCH_TYPE1,SCH_TYPE2,SCH_LEVEL,GRADE,CLASS,SDNUM,SDNAME,CTYNUM,FIPSNUM,CTYNAME,MAGNET,DATE_ENTRY,FED_SCHNUM,ALT_NAME,WEB_URL,YEAR,geometry
0,01,0625,552,010625552000,10625552000.0,Paul & Sheila Wellstone Elem,1041 MARION ST,SAINT PAUL,55117,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-6,10,625,St. Paul,62,123,Ramsey,YES,6/7/2010,273384002454.0,,http://www.wellstone.spps.org,SY2018-19,POINT (491310.8514 4979910.223999999)
1,01,0625,435,010625435000,10625435000.0,Expo for Excellence,540 WARWICK ST,SAINT PAUL,55116,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-5,10,625,St. Paul,62,123,Ramsey,NO,6/8/2010,273384001167.0,,http://www.expo.spps.org,SY2018-19,POINT (487205.3899999997 4974666.7468)
2,01,0625,460,010625460000,10625460000.0,Four Seasons Elem,318 MOORE ST,SAINT PAUL,55104,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-5,10,625,St. Paul,62,123,Ramsey,YES,4/13/2007,273384002671.0,,http://www.fourseasons.spps.org,SY2018-19,POINT (485534.1639999999 4977468.7675)
3,01,0625,578,010625578000,10625578000.0,Obama Service Learning Elem,707 HOLLY AVE,SAINT PAUL,55104,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-6,10,625,St. Paul,62,123,Ramsey,YES,4/13/2007,273384001634.0,,http://www.obama.spps.org,SY2018-19,POINT (489784.5976999998 4976696.618000001)
4,01,0625,558,010625558000,10625558000.0,St. Paul Music Academy,27 GERANIUM AVE E,SAINT PAUL,55117,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-6,10,625,St. Paul,62,123,Ramsey,YES,4/13/2007,273384004491.0,,http://www.spmusicacademy.spps.org,SY2018-19,POINT (492111.3106000004 4980284.999)
5,01,0625,410,010625410000,10625410000.0,Adams Spanish Immersion,615 CHATSWORTH ST S,SAINT PAUL,55102,PUBLIC,ELEM,ELEMENTARY,SCHOOL,KG-5,10,625,St. Paul,62,123,Ramsey,YES,4/13/2007,273384001133.0,,http://www.adams.spps.org,SY2018-19,POINT (488768.4441 4974490.789100001)
6,03,0006,444,030006444000,30006444000.0,SSP Spec Ed ESY,104 5TH AVE S,SOUTH SAINT PAUL,55075,PUBLIC,OTHER,SPECIAL EDUCATION ESY,SCHOOL,KG-12,51,6,South St. Paul,19,37,Dakota,NO,6/18/2007,0.0,,http://www.sspps.org,SY2018-19,POINT (496804.6431999998 4970757.389)
7,01,0535,124,010535124000,10535124000.0,Ben Franklin Elem,1801 9TH AVE SE,ROCHESTER,55904,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-5,10,535,Rochester,55,109,Olmsted,NO,4/13/2007,273180000993.0,,http://www.rochester.k12.mn.us,SY2018-19,POINT (544041.2505000001 4871399.499500001)
8,03,0001,180,030001180000,30001180000.0,Michael Dowling Urban Environmental,3900 W RIVER PKWY,MINNEAPOLIS,55406,PUBLIC,ELEM,ELEMENTARY,SCHOOL,KG-5,10,1,Minneapolis,27,53,Hennepin,YES,4/13/2007,272124001868.0,,http://dowling.mpls.k12.mn.us,SY2018-19,POINT (483884.7533999998 4975444.4145)
9,03,0001,155,030001155000,30001155000.0,Pillsbury,2250 GARFIELD ST NE,MINNEAPOLIS,55418,PUBLIC,ELEM,ELEMENTARY,SCHOOL,PK-5,10,1,Minneapolis,27,53,Hennepin,YES,5/5/2010,272124002296.0,,http://www.pillsbury.mpls.k12.mn.us,SY2018-19,POINT (481572.7292999998 4984170.930600001)
10,03,0001,160,030001160000,30001160000.0,Seward Montessori,2309 28TH AVE S,MINNEAPOLIS,55406,PUBLIC,ELEM,ELEMENTARY,SCHOOL,EC-8,10,1,Minneapolis,27,53,Hennepin,YES,4/13/2007,272124001031.0,,http://seward.mpls.k12.mn.us,SY2018-19,POINT (481806.4285000004 4978569.1601)
