,Latitude,Longitude,Company,Facility,Facility ID,Address,City,County,State,Zip
1,45.0205,-92.4631,ANDERSEN CORP,ANDERSEN CORP,55003NDRSNFOOTO,100 4TH AVE N,BAYPORT,WASHINGTON,MN,55003
2,45.0149,-92.4643,XCEL ENERGY,XCEL ENERGY A S KING GENERATING PLANT,55003SKNGG1103K,1103 KING RD,BAYPORT,WASHINGTON,MN,55003
3,45.3407,-93.1309,WATER WORKS MANUFACTURING,CAMBRIDGE METALS and PLASTICS,55008CMBRD500SC,500 S CLEVELAND,CAMBRIDGE,ISANTI,MN,55008
4,45.3345,-93.1312,,CANADIAN HARVEST USA,55008CNDNH1001S,1001 S CLEVELAND ST,CAMBRIDGE,ISANTI,MN,55008
6,45.3451,-93.1255,,ARROW TANK and ENGINEERING CO,55008RRWTN650NO,650 N EMERSON,CAMBRIDGE,ISANTI,MN,55008
7,45.3416,-93.1258,TEAM INDUSTRIES,TEAM INDUSTRIES-CAMBRIDGE,55008TMNDS625SE,625 SECOND AVE SE,CAMBRIDGE,ISANTI,MN,55008
8,44.311,-92.5411,HENKEL CORP,BERGQUIST CO,55009BRGQS301WA,301 WASHINGTON ST W,CANNON FALLS,GOODHUE,MN,55009
9,44.3106,-92.5413,CANNON EQUIPMENT CO,CANNON EQUIPMENT MIDWEST,55009CNNNQ324WW,324 W WASHINGTON ST,CANNON FALLS,GOODHUE,MN,55009
10,44.3114,-92.5418,GEMINI INC,GEMINI - CANNON FALLS,55009GMNNC103ME,103 MENSING WAY,CANNON FALLS,GOODHUE,MN,55009
11,44.3108,-92.5403,,AMESBURY GROUP INC,55009MSBRY105WA,105 WASHINGTON ST,CANNON FALLS,GOODHUE,MN,550090456
14,44.4736,-92.54,TYR ENERGY LLC,LSP - COTTAGE GROVE LP,55016LSPCT95251,9525 105TH ST CT S,COTTAGE GROVE,WASHINGTON,MN,55016
15,44.4719,-92.5415,3M CO,3M COTTAGE GROVE CENTER,55016MCHMLHIGHW,10746 INNOVATION RD,COTTAGE GROVE,WASHINGTON,MN,55016
17,44.174,-93.155,,BEATRICE CHEESE INC,55021BTRCC222NE,222 NE 3RD ST,FARIBAULT,RICE,MN,55021
18,44.1736,-93.1736,CROWN HOLDINGS INC,CROWN AEROSOL PACKAGING,55021CRWNCPOBOX,4TH ST and PARK AVE,FARIBAULT,RICE,MN,55021
20,44.1728,-93.1602,HORMEL FOODS CORP,JENNIE-O TURKEY STORE INC,55021JRMFD1116N,1116 NW 4TH AVE NW,FARIBAULT,RICE,MN,55021
21,44.1929,-93.175,,NORTHERN TOOL and EQUIPMENT,55021KBRND2050A,2050 AIRTECH RD,FARIBAULT,RICE,MN,55021
22,44.1739,-93.1619,K and G MANUFACTURING CO,K and G MANUFACTURING CO,55021KGMNF226PA,226 PARK AVE NW,FARIBAULT,RICE,MN,55021
23,44.193,-93.183,,PROTIENT INC,55021LNDLK1612N,1612 NW 7TH ST,FARIBAULT,RICE,MN,55021
25,44.1859,-93.1624,DAIKIN AMERICA INC,DAIKIN APPLIED,55021SNYDR30024,300 24TH ST NW,FARIBAULT,RICE,MN,55021
26,44.3832,-93.1025,,DUO PLASTICS INC,55024DPLST5119W,5119 W 212TH ST,FARMINGTON,DAKOTA,MN,55024
27,44.3842,-93.1005,VALMONT INDUSTRIES INC,VALMONT INDUSTRIES INC,55024LXNGT20805,20805 EATON AVE,FARMINGTON,DAKOTA,MN,55024
28,44.3836,-93.0834,DAIRY FARMERS OF AMERICA INC,KEMPS LLC,55024MRGLD15FOU,15 - 4TH ST,FARMINGTON,DAKOTA,MN,55024
32,44.4419,-92.505,,CONAGRA FOODS GRAIN PROCESSING CO,55033CNGRF2005V,1 KING MIDAS PARK,HASTINGS,DAKOTA,MN,55033
33,44.4309,-92.5042,,CURTIS ELECTRONICS CORP,55033CRTSL700SP,700 SPIRAL BLVD,HASTINGS,DAKOTA,MN,55033
34,44.4441,-92.5009,,INTEK PLASTICS INC,55033MSTRN1000S,1000 SPIRIAL BLVD,HASTINGS,DAKOTA,MN,550332299
35,44.4405,-92.5025,,INTEK PLASTICS INC,55033NTKWT800EA,800 E 10TH ST,HASTINGS,DAKOTA,MN,550332299
36,45.0945,-93.0118,,AD GRAPHICS,55038DGRPH2300M,2300 MAIN ST,HUGO,ANOKA,MN,55038
