,geometry,geo_names
0,POINT (542300.8410042864 4985367.890990298 ),ANDERSEN CORP
1,POINT (542210.4105705898 4984745.174006095 ),XCEL ENERGY A S KING GENERATING PLANT
2,POINT (489744.4029225176 5020807.318728867 ),CAMBRIDGE METALS and PLASTICS
3,POINT (489719.7770615144 5020118.574684268 ),CANADIAN HARVEST USA
4,POINT (490168.237286967 5021295.459080696 ),ARROW TANK and ENGINEERING CO
5,POINT (490144.1277850209 5020906.666641817 ),TEAM INDUSTRIES-CAMBRIDGE
6,POINT (536599.1819000769 4906518.255888615 ),BERGQUIST CO
7,POINT (536583.4795366834 4906473.737079866 ),CANNON EQUIPMENT MIDWEST
8,POINT (536543.1057531877 4906562.373352268 ),GEMINI - CANNON FALLS
9,POINT (536663.1097689831 4906496.39839104 ),AMESBURY GROUP INC
10,POINT (536585.4706615556 4924579.629778071 ),LSP - COTTAGE GROVE LP
11,POINT (536467.2288090208 4924390.128770629 ),3M COTTAGE GROVE CENTER
12,POINT (487609.3876468608 4891210.612127488 ),BEATRICE CHEESE INC
13,POINT (486122.420228701 4891169.154785122 ),CROWN AEROSOL PACKAGING
14,POINT (487193.4428666309 4891078.123461613 ),JENNIE-O TURKEY STORE INC
15,POINT (486015.0675764502 4893313.069853482 ),NORTHERN TOOL and EQUIPMENT
16,POINT (487057.7836340483 4891200.567959263 ),K and G MANUFACTURING CO
17,POINT (485375.7810456631 4893325.569284729 ),PROTIENT INC
18,POINT (487020.4466991422 4892533.502650589 ),DAIKIN APPLIED
19,POINT (491835.2296442501 4914440.562313127 ),DUO PLASTICS INC
20,POINT (491994.6785179311 4914551.440202137 ),VALMONT INDUSTRIES INC
21,POINT (493356.7101644177 4914483.266033921 ),KEMPS LLC
22,POINT (539390.4556041715 4921074.747773041 ),CONAGRA FOODS GRAIN PROCESSING CO
23,POINT (539461.5195068523 4919853.292728658 ),CURTIS ELECTRONICS CORP
24,POINT (539715.2296214805 4921321.098003039 ),INTEK PLASTICS INC
25,POINT (539590.3428568064 4920920.447175852 ),INTEK PLASTICS INC
26,POINT (499071.5095405748 4993448.30757415 ),AD GRAPHICS
27,POINT (499889.8180079111 4992170.716637047 ),LOAD MASTER LUBRICANTS
28,POINT (567608.800159097 4901244.311954814 ),FEDERAL-MOGUL POWERTRAIN SYSTEMS
29,POINT (563834.7950909521 4899406.903955533 ),LAND O'LAKES
30,POINT (567849.7602688746 4901102.391999373 ),VALLEY CRAFT INC
31,POINT (489317.5996420995 4914144.294320427 ),UNIVAR USA INC LAKEVILLE
32,POINT (493260.1941190806 4913583.654857542 ),CROWN CORK and SEAL CO INC
33,POINT (489405.135431354 4914088.613852574 ),HITCHCOCK INDUSTRIES INC LAKEVILLE OPERATIONS
34,POINT (488847.5109550557 4914089.543004932 ),ROTADYNE ROLL GROUP
35,POINT (494406.9192726169 4913027.195632908 ),MENASHA CORP
36,POINT (480387.3473877653 4903412.933921933 ),TELAMCO INC
37,POINT (487366.0226795443 5041953.254229001 ),BWHC/BLUEWATER
38,POINT (487366.0226795443 5041953.254229001 ),FORRESTER BOX CO INC
39,POINT (487231.9226469679 5041286.937355595 ),ENGINEERED POLYMERS CORP
40,POINT (533346.655984179 5018976.221597595 ),CHINOOK GROUP INC
41,POINT (498361.6785519052 5017433.059541808 ),PRODUCT FABRICATORS INC
42,POINT (491147.9407699791 4901001.467545497 ),FMC FOODTECH INC
43,POINT (492019.2393016389 4902033.328953249 ),MOM BRANDS
44,POINT (492626.9275983087 4903054.491416735 ),MULTEK FLEXIBLE CIRCUITS INC
45,POINT (489222.469814739 4875491.347239077 ),CATERPILLAR FOREST PRODUCTS
